id,name,parent_id
251C14820,Комбо Экономбо,251C12884
251C12891,Завтраки,251C12884
251C13103,Перекусы и напитки,251C12884
251C13979,Салаты и закуски,251C12884
251C13980,Основные блюда и супы,251C12884
251C13106,Суши и роллы,251C12884
251C13107,Горячий кофе,251C12884
251C13109,Наша пекарня,251C12884
251C16710,Вся готовая еда,251C12884
251C13100,"Овощи, зелень, грибы",251C12886
251C13101,"Фрукты, ягоды",251C12886
251C13102,"Орехи, сухофрукты",251C12886
251C13093,"Молоко, сметана",251C12887
251C13094,"Кефир, творог",251C12887
251C13095,Сыр,251C12887
251C13096,"Яйцо, масло",251C12887
251C13097,Майонез,251C12887
251C13098,"Йогурты, десерты",251C12887
251C13088,Испекли для вас,251C12888
251C13089,"Хлеб, лаваш",251C12888
251C13090,"Сдоба, выпечка",251C12888
251C13091,"Хлебцы, сухари",251C12888
251C13082,Мясо,251C12889
251C13083,Птица,251C12889
251C13084,"Котлеты, фарш",251C12889
251C13086,"Колбаса, сосиски",251C12889
251C13087,"Паштеты, закуски",251C12889
251C13077,Рыба,251C12890
251C13078,Морепродукты,251C12890
251C13079,"Котлеты, фарш",251C12890
251C13080,"Икра, закуски",251C12890
251C13070,"Шоколад, конфеты",251C12900
251C13071,"Печенье, вафли, пряники",251C12900
251C13072,"Зефир, мармелад, халва",251C12900
251C13073,"Торты, пирожные",251C12900
251C13074,Мороженое,251C12900
251C13075,"Жвачка, леденцы, драже",251C12900
251C13076,"Варенье, мёд, пасты",251C12900
251C24691,Нежные подарки,251C12900
251C24826,Для настроения,251C12900
251C13064,"Чипсы, сухарики",251C12901
251C13065,"Соломка, крекеры",251C12901
251C13066,Мясные и сырные снеки,251C12901
251C13067,Рыбные снеки,251C12901
251C13068,Кукурузные снеки,251C12901
251C13069,"Орехи, семечки",251C12901
251C13055,"Макароны, крупы",251C12902
251C13056,"Сухие завтраки, каши",251C12902
251C13057,"Чай, кофе, какао",251C12902
251C13058,"Сахар, соль, специи",251C12902
251C13059,"Масло, уксус",251C12902
251C13060,"Майонез, соусы",251C12902
251C13061,"Консервы, соленья",251C12902
251C13062,Всё для выпечки,251C12902
251C13063,Залить кипятком,251C12902
251C13048,Мороженое и лёд,251C12903
251C13049,Рыба и морепродукты,251C12903
251C13050,"Мясо, фарш, котлеты",251C12903
251C13051,Пельмени и вареники,251C12903
251C13052,"Овощи, фрукты, ягоды",251C12903
251C13053,Замороженные блюда,251C12903
251C13054,Тесто и выпечка,251C12903
251C13042,Вода,251C12904
251C13043,Газировка,251C12904
251C13044,"Соки, морсы",251C12904
251C13045,"Холодный чай, квас",251C12904
251C13046,Горячий кофе,251C12904
251C13047,"Пиво, вино, энергетики",251C12904
251C14206,Вкус & Польза,251C12905
251C13037,Перекус с пользой,251C12905
251C13038,Веган,251C12905
251C13039,Напитки,251C12905
251C13040,Спортивное питание,251C12905
251C13041,"Без глютена, лактозы",251C12905
251C13032,Детское питание,251C12906
251C13033,Детские напитки,251C12906
251C13034,Детская гигиена,251C12906
251C13035,Игры и игрушки,251C12906
251C13036,Школа и хобби,251C12906
251C13029,Для кошек,251C12907
251C13030,Для собак,251C12907
251C13023,Уход за волосами,251C12908
251C13024,Уход за телом и лицом,251C12908
251C13025,Уход за полостью рта,251C12908
251C13026,Бумага и салфетки,251C12908
251C13027,Аптека,251C12908
251C13028,Л'Этуаль в Пятёрочке,251C12908
251C24831,Для заботы о нём,251C12908
251C13018,Стирка,251C12909
251C13019,Для мытья посуды,251C12909
251C13020,Чистящие средства,251C12909
251C13021,Предметы для уборки,251C12909
251C13022,Ароматы для дома,251C12909
251C12942,Кухня,251C12910
251C12943,Дача и отдых,251C12910
251C12944,Хозтовары,251C12910
251C12945,Декор для дома,251C12910
251C12946,Одежда и аксессуары,251C12910
