,name,price,pricing_unit,product_type,supermarket,weight,price_kg,number_of_units,price_unit
280,Хлеб Маг с семечками 390г,75.99,390 г,bread,Pyaterochka,390.0,194.84615384615384,,
317,Хлеб с семечками замороженный п/ф 400г,71.99,400 г,bread,Pyaterochka,400.0,179.975,,
531,Огурцы короткоплодные 450г,278.99,450 г,cucumber,Pyaterochka,450.0,619.9777777777779,,
533,Огурец Global Village Агромос длинный 1шт.,124.99,1 шт,cucumber,Pyaterochka,,,1.0,124.99
535,Огурец Global Village среднеплодный гладкий 600г,262.99,600 г,cucumber,Pyaterochka,600.0,438.31666666666666,,
558,Огурцы Луховицкие длинные 1шт.,129.99,250 г,cucumber,Pyaterochka,250.0,519.96,,
559,Огурцы Люкс Луховицкие короткоплодные 450г,299.99,450 г,cucumber,Pyaterochka,450.0,666.6444444444445,,
1023,Яйцо куриное столовое С1 10шт.,88.99,10 шт,egg,Pyaterochka,,,10.0,8.899
1024,Яйцо куриное отборное 10шт.,95.99,10 шт,egg,Pyaterochka,,,10.0,9.599
1025,Яйцо куриное С2 10шт.,76.49,10 шт,egg,Pyaterochka,,,10.0,7.648999999999999
1027,Яйцо куриное Окское столовое С1 10шт.,119.99,10 шт,egg,Pyaterochka,,,10.0,11.998999999999999
1028,Яйцо куриное Село Зеленое Деревенское С1 10шт.,119.99,10 шт,egg,Pyaterochka,,,10.0,11.998999999999999
1029,Яйцо куриное С1 30шт.,253.99,30 шт,egg,Pyaterochka,,,30.0,8.466333333333333
1030,Яйцо куриное Окское столовое СО 10шт.,134.39,10 шт,egg,Pyaterochka,,,10.0,13.438999999999998
1033,Яйцо куриное Роскар Экстра СО 10шт.,139.99,10 шт,egg,Pyaterochka,,,10.0,13.999
1036,Яйцо куриное Лето С1 20шт.,234.99,20 шт,egg,Pyaterochka,,,20.0,11.749500000000001
1040,Яйцо куриное Лето пищевое С1 10шт.,114.99,10 шт,egg,Pyaterochka,,,10.0,11.498999999999999
1042,Яйцо куриное Село Зеленое Деревенское С0 10шт.,144.99,10 шт,egg,Pyaterochka,,,10.0,14.499
1044,Яйцо куриное Волжанин С1 10шт.,109.99,10 шт,egg,Pyaterochka,,,10.0,10.998999999999999
1055,Яйцо куриное Волжанин С1 белое 10шт,119.99,10 шт,egg,Pyaterochka,,,10.0,11.998999999999999
1365,Хлеб сандвичный Harry's American Sandwich пшеничный нарезка 470г,123.99,470 г,bread,Pyaterochka,470.0,263.80851063829783,,
1366,Хлеб Коломенский Даниловский ржано-пшеничный нарезка 350г,67.99,350 г,bread,Pyaterochka,350.0,194.25714285714284,,
1369,Хлеб Хлебный Дом тостовый пшеничный 350г,70.99,350 г,bread,Pyaterochka,350.0,202.82857142857142,,
