category_id,name,unit_of_measurement,price_reg,price_disc,pricing_clarification
251C14820,Салат сельдь под шубой Пятерочка Кафе 250г,шт,179.99,,250 г
251C14820,Салат Гнездо глухаря Пятерочка Кафе 200г,шт,189.99,,200 г
251C14820,Салат Черепаха с курицей и грецким орехом Пятерочка Кафе 200г,шт,199.99,,200 г
251C14820,Салат Деревенский с курицей и фасолью Пятерочка Кафе 200г,шт,159.99,,200 г
251C14820,Салат Весенний Пятерочка Кафе 160г,шт,119.99,,160 г
251C14820,Салат Цезарь с курицей Пятерочка Кафе 180г,шт,229.99,,180 г
251C14820,Салат Винегрет Пятерочка Кафе 180г,шт,99.99,,180 г
251C14820,Салат Мимоза Пятерочка Кафе 200г,шт,179.99,,200 г
251C14820,Салат Грин Микс с курицей и шампиньонами Пятерочка Кафе 150г,шт,179.99,,150 г
251C14820,Салат Кобб Пятерочка Кафе 170г,шт,169.99,,170 г
251C14820,Суп куриный с домашней лапшой Пятерочка Кафе 250г,шт,109.99,,250 г
251C14820,Кофе Латте 330мл,шт,99.99,,330 мл
251C14820,Суп гороховый с копченостями Пятерочка Кафе 250г,шт,129.99,,250 г
251C14820,Морс облепиховый Пятерочка Кафе 0.5л,шт,99.99,,500 мл
251C14820,Онигири Филадельфия с семгой и творожным сыром Пятерочка Кафе 110г,шт,149.99,,110 г
251C14820,Шницель куриный с картофельным пюре Пятерочка Кафе 250г,шт,169.99,,250 г
251C14820,Кофе Большой Капучино 270мл,шт,99.99,,270 мл
251C14820,Салат Витаминный из морской капусты Fish House 430г,шт,99.99,,430 г
251C14820,Котлета По-Киевски с картофельным пюре Пятерочка Кафе 260г,шт,219.99,,260 г
251C14820,Плов с курицей Пятерочка Кафе 250г,шт,159.99,,250 г
251C14820,Салат дальневосточный из морской капусты Fish House 250г,шт,59.99,,250 г
251C14820,Салат из морской капусты с кальмаром в майонезе Fish House 250г,шт,114.99,,250 г
251C14820,Сэндвич куриный с беконом Пятерочка Кафе 185г,шт,179.99,,185 г
251C14820,Онигири с тунцом и соусом Спайси Пятерочка Кафе 110г,шт,129.99,,110 г
251C14820,Морковь по-корейски Пятерочка Кафе 200г,шт,59.99,,200 г
251C14820,Салат Чука Fish House 180г,шт,139.99,,180 г
251C14820,Лимонад Лимон-имбирь Пятерочка Кафе 500мл,шт,94.99,,500 мл
251C14820,Онигири с крабовыми палочками и соусом Спайси Пятерочка Кафе 110г,шт,119.99,,110 г
251C14820,Сэндвич-ролл с курицей том ям Пятерочка Кафе 195г,шт,169.99,,195 г
251C14820,Чикен-ролл Пятерочка Кафе 200г,шт,199.99,,200 г
251C14820,Смузи банан-манго Пятерочка Кафе 0.3л,шт,124.99,,300 мл
251C14820,Сэндвич-ролл с креветкой Пятерочка Кафе 165г,шт,209.99,,165 г
251C14820,Голубцы ленивые в томатно-сметанном соусе Пятерочка Кафе 250г,шт,164.99,,250 г
251C14820,Шаурма с курицей Пятерочка Кафе 200г,шт,199.99,,200 г
251C14820,Паста Болоньезе Пятерочка Кафе 250г,шт,159.99,,250 г
251C14820,Онигири с кальмаром и соусом Том Ям Пятерочка Кафе 110г,шт,129.99,,110 г
251C14820,Салат Чука в ореховом соусе Fish House 200г,шт,159.99,,200 г
251C14820,Сэндвич с индейкой Пятерочка Кафе 175г,шт,199.99,,175 г
251C14820,Смузи банан-клубника-базилик Пятерочка Кафе 0.3л,шт,124.99,,300 мл
251C14820,Сэндвич-ролл с бужениной Пятерочка Кафе 175г,шт,169.99,,175 г
251C14820,Сэндвич-ролл с индейкой Пятерочка Кафе 230г,шт,224.99,,230 г
251C14820,"Онигири с угрем, курицей и шампиньонами Пятерочка Кафе 110г",шт,139.99,,110 г
251C14820,Сэндвич-ролл Цезарь Пятерочка Кафе 200г,шт,189.99,,200 г
251C14820,Оладьи печеночные с картофельным пюре Пятерочка Кафе 250г,шт,159.99,,250 г
251C14820,Сэндвич-ролл с горбушей Пятерочка Кафе 200г,шт,179.99,,200 г
251C14820,Салат Капуста по-корейски Рестория Шеф 200г,шт,109.99,,200 г
251C14820,Кутабы с сыром и зеленью Пятерочка Кафе 150г,шт,179.99,,150 г
251C14820,Кофе Американо Гранде 320мл,шт,79.99,,320 мл
251C14820,Сэндвич с кетой Пятерочка Кафе 170г,шт,239.99,,170 г
251C14820,Салат Баклажаны по-корейски Рестория Шеф 200г,шт,119.99,,200 г
251C14820,Кофе Флэт Уайт 200мл,шт,99.99,,200 мл
251C14820,Шашлык куриный с картофелем и луком Пятерочка Кафе 250г,шт,209.99,,250 г
251C14820,Сэндвич с ветчиной и сыром Пятерочка Кафе 185г,шт,129.99,,185 г
251C14820,Кофе Большой Американо 230мл,шт,49.99,,230 мл
251C14820,Сэндвич с мортаделлой Пятерочка Кафе 155г,шт,189.99,,155 г
251C14820,Биточек куриный со спагетти в томатном соусе Пятерочка Кафе 250г,шт,159.99,,250 г
251C14820,Бефстроганов с картофельным пюре  Пятерочка Кафе 250г,шт,179.99,,250 г
251C14820,Тефтели с пастой фузилли в томатном соусе Пятерочка Кафе 250г,шт,184.99,,250 г
251C14820,Кофе с молоком 260мл,шт,99.99,,260 мл
251C14820,Кофе Двойной Эспрессо 100мл,шт,79.99,,100 мл
