category_id,name,unit_of_measurement,price_reg,price_disc,pricing_clarification
251C12891,Блины с творогом С Пылу с Жару 360г,шт,199.99,149.99,360 г
251C12891,Каша Рисовая на молоке Пятерочка Кафе 200г,шт,94.99,,200 г
251C12891,Блины с мясом С Пылу с Жару 360г,шт,199.99,139.99,360 г
251C12891,Блины с мясом Останкино 420г,шт,185.99,,420 г
251C12891,Блины с вишней С Пылу с Жару 360г,шт,175.99,,360 г
251C12891,Блинчики для фаршировки С пылу с жару 310г,шт,113.99,,310 г
251C12891,Каша пшенная на молоке Пятерочка Кафе 200г,шт,94.99,,200 г
251C12891,Блины с ветчиной и сыром С Пылу с Жару 360г,шт,195.99,,360 г
251C12891,Блины с куриным мясом Останкино 420г,шт,169.99,139.99,420 г
251C12891,Блинчики с мясом Красная цена 420г,шт,99.99,,420 г
251C12891,Сэндвич куриный с беконом Пятерочка Кафе 185г,шт,179.99,,185 г
251C12891,Сырники с малиновой начинкой Рестория Шеф 140г,шт,139.99,,140 г
251C12891,Оладьи По-домашнему Пятерочка Кафе 160г,шт,89.99,,160 г
251C12891,Сэндвич-ролл с курицей том ям Пятерочка Кафе 195г,шт,169.99,,195 г
251C12891,Оладьи оладушки С Пылу С Жару 280г,шт,109.99,92.99,280 г
251C12891,Сырники Вкус & Польза творожные 340г,шт,219.99,185.99,340 г
251C12891,Сэндвич-ролл с креветкой Пятерочка Кафе 165г,шт,209.99,,165 г
251C12891,Хумус Классический Рестория Шеф 200г,шт,124.99,,200 г
251C12891,Вилки одноразовые Econta белые 12шт.,шт,24.99,,12 шт
251C12891,Блинчики без начинки Пятерочка Кафе 200г,шт,99.99,,200 г
251C12891,Хумус с кедровыми орешками Рестория Шеф 200г,шт,142.99,,200 г
251C12891,Сэндвич с индейкой Пятерочка Кафе 175г,шт,199.99,,175 г
251C12891,Запеканка Вкус & Польза творожная с яблоком и корицей 200г,шт,169.99,,200 г
251C12891,Сэндвич-ролл с бужениной Пятерочка Кафе 175г,шт,169.99,,175 г
251C12891,"Набор одноразовой посуды Liberhaus Вилка, ложка, нож, салфетка в ассортименте 1шт",шт,25.99,,1 шт
251C12891,Сэндвич-ролл с индейкой Пятерочка Кафе 230г,шт,224.99,,230 г
251C12891,Каша Гурьевская на топленом молоке с изюмом Пятерочка Кафе 200г,шт,99.99,,200 г
251C12891,Ложки одноразовые Econta столовые 165 мм 12шт,шт,24.99,,12 шт
