category_id,name,unit_of_measurement,price_reg,price_disc,pricing_clarification
251C13033,Вода Honey Kid негазированная для детей 0+ мес. 5л,шт,109.99,,5 л
251C13033,Сок Сады Придонья зеленое яблоко 125мл,шт,17.99,,125 мл
251C13033,Сок ФрутоНяня яблочный без сахара осветленный 200мл,шт,29.99,,200 мл
251C13033,Сок ФрутоНяня Яблоко и персик с 5 мес. 200мл,шт,36.99,,200 мл
251C13033,Биолакт Тёма без сахара с 8 месяцев 3.4% 206г,шт,45.99,,206 мл
251C13033,Ряженка Агуша Клубника с 12 мес. 2.9% 180г,шт,48.15,43.99,180 г
251C13033,Вода ФрутоНяня детская негазированная с 0 мес. 330мл,шт,32.99,,330 мл
251C13033,Вода ФрутоНяня негазированная с 0 мес. 1.5л,шт,50.99,,1.5 л
251C13033,Сок ФрутоНяня яблочно-вишневый осветленный 200мл,шт,29.99,,200 мл
251C13033,"Биолакт Тема Клубника, банан с 8 мес. 3% 206г",шт,44.99,,206 г
251C13033,Сок Сады Придонья Kids Зеленое яблоко для детей с 4 мес. 200мл,шт,29.99,,200 мл
251C13033,Вода Святой Источник Светлячок негазированная 5л,шт,133.99,,5 л
251C13033,Сок Сады Придонья яблоко-вишня восстановленный осветленный 125мл,шт,17.99,,125 мл
251C13033,Сок ФрутоНяня Груша осветленный с 4мес. 0.2л,шт,36.99,,200 мл
251C13033,Сок Сады Придонья Kids Яблоко-виноград для детей с 6 мес. 200мл,шт,29.99,,200 мл
251C13033,Нектар ФрутоНяня банановый с мякотью с 3 лет 0.5л,шт,59.99,,500 мл
251C13033,Сок ФрутоНяня яблочно-черносмородиновый осветленный 200мл,шт,36.99,,200 мл
251C13033,Биолакт Тема сладкий с 8 месяцев 3.2% 208г,шт,45.99,,208 г
251C13033,Морс ФрутоНяня клюква-черника-вишня 0.2л,шт,38.99,,200 мл
251C13033,Ряженка Агуша Сладкая 3.2% 180г,шт,48.15,43.99,180 г
251C13033,Молоко ультрапастеризованное Агуша детское 3.2% с 3 лет 950г,шт,154.99,,925 мл
251C13033,Напиток сокосодержащий Агуша Яблоко детский с 12 месяцев 300мл,шт,66.07,58.99,300 мл
251C13033,Кисель ФрутоНяня клубника-малина с 12 месяцев 130г,шт,54.87,48.99,130 г
251C13033,Коктейль молочный ФрутоНяня Малина с 12 мес. 2.1% БЗМЖ 200мл,шт,38.99,,200 мл
251C13033,Сок Сады Придонья Kids Яблоко-вишня для детей с 5 мес. 200мл,шт,29.99,,200 мл
251C13033,Напиток кисломолочный Агуша Биокефирная сладкая с 8 мес. 2.9% 180г,шт,43.99,,180 г
251C13033,Вода Архыз Вита горная для детей старше 3-х лет минеральная негазированная 5л,шт,109.99,,5 л
251C13033,Нектар ФрутоНяня банановый с мякотью с 6 месяцев 200мл,шт,36.99,,200 мл
251C13033,Сок Honey Kid яблочный восстановленный осветленный для детей с 4 мес. 0.2л,шт,29.99,25.99,200 мл
251C13033,Коктейль молочный ФрутоНяня Банан с 12 мес. 2.1% БЗМЖ 0.2л,шт,38.99,,200 мл
251C13033,Кефир Агуша Первая ложка 3.2% с 8 месяцев 204г,шт,46.99,,200 мл
251C13033,Сок Сады Придонья Kids Яблоко прямого отжима для детей с 4 мес. 200мл,шт,29.99,,200 мл
251C13033,Вода Святой источник Светлячок артезианская негазированная в ассортименте 330мл,шт,37.99,,350 мл
251C13033,Сок Honey Kid Яблоко-груша осветленный с 5 месяцев 0.2л,шт,29.99,25.99,200 мл
251C13033,Сок ФрутоНяня Яблоко и шиповник осветленный с 5 мес. 0.2л,шт,36.99,,200 мл
251C13033,Сок Honey kid яблочно-вишневый восстановленный осветленный с 5 месяцев 200мл,шт,29.99,25.99,200 мл
251C13033,Нектар Мой Ананас детский 0.2л,шт,21.99,,200 мл
251C13033,"Биолакт Тема Яблоко, груша с 8 мес. 3% 206г",шт,44.99,,206 г
251C13033,Молоко стерилизованное Агуша детское 2.5% с 8 месяцев 200мл,шт,52.99,,200 мл
251C13033,Нектар ФрутоНяня яблоко-банан-вишня-малина неосветленный с 6 мес. 200мл,шт,36.99,,200 мл
251C13033,Снежок ФрутоНяня с клубникой и земляникой с 12 мес. 2% 200г,шт,49.99,,200 г
251C13033,"Напиток сокосодержащий Агуша Садовые ягоды виноград, рябина, шиповник, клубника, ежевика детский с 12 месяцев 300мл",шт,61.99,54.99,300 мл
251C13033,Коктейль Агуша молочный с бананом и клубникой детский с 12 мес. 2% 190мл,шт,50.99,,190 мл
251C13033,Сок Сады Придонья Kids Яблоко-черная смородина для детей с 5 мес. 200мл,шт,29.99,,200 мл
251C13033,Напиток кисломолочный Агуша биокефирная 3.1% 180г,шт,43.99,,180 г
251C13033,"Чай травяной Honey Kid яблоко, липовый цвет и мелисса для детей с 4 мес. 85г",шт,113.99,,85 г
251C13033,"Напиток ФрутоНяня яблоко, липа, ромашка сокосодержащий без сахара 0.2л",шт,36.99,,220 мл
251C13033,Сок Сады Придонья Kids Мультифрукт с мякотью для детей с 12 мес. 200мл,шт,29.99,,200 мл
251C13033,Сок Сады Придонья Kids Яблоко-персик для детей с 5 мес. 200мл,шт,29.99,,200 мл
251C13033,Напиток сокосодержащий Агуша Яблоко-Виноград детский с 12 месяцев 300мл,шт,61.99,54.99,300 мл
251C13033,Компот ФрутоНяня вишнево-малиновый сокосодержащий 200мл,шт,47.99,,200 мл
251C13033,Смесь кисломолочная детская Агуша 3.4% с 6 месяцев 204г,шт,46.99,,200 мл
251C13033,Сок ФрутоНяня Яблоко осветленный с 3 лет 0.5л,шт,84.99,,500 мл
251C13033,Коктейль Агуша молочный с земляникой детский с 12 мес. 2% 190мл,шт,50.99,,190 мл
251C13033,Молоко стерилизованное Агуша детское  3.2% с 3 лет 500г,шт,94.99,,487 мл
251C13033,Чай Бабушкино лукошко детский травяной Ромашка 20x1г,шт,127.99,,20 г
251C13033,Вода Honey Kid негазированная с 0 мес. 1.5л,шт,46.99,,1.5 л
251C13033,Напиток сокосодержащий Агуша Яблоко-Вишня детский с 12 месяцев 300мл,шт,61.99,54.99,300 мл
251C13033,Вода Агуша 330мл,шт,48.99,,330 мл
251C13033,Сок детский Агуша Яблоко осветленный 500мл,шт,77.99,,500 мл
251C13033,Молоко Ухтышки ультрапастеризованное для питания детей 3.2% 200мл,шт,29.99,,200 мл
251C13033,Нектар Сады Придонья бананово-клубничный для детского питания 0.97л,шт,164.99,119.99,970 мл
251C13033,Молоко ЭкоНива детское ультрапастеризованное 3.2% БЗМЖ 200мл,шт,36.99,,200 мл
251C13033,Снежок ФрутоНяня Снежок с манго с 12 мес. 2% 200г,шт,49.99,,200 г
251C13033,Сок Агуша Яблоко с 4 мес. 200мл,шт,39.99,,200 мл
251C13033,Вода Honey Kid детская 500мл,шт,31.99,,500 мл
251C13033,Сок Добрый СуперДжус Active kid Яблочный 200мл,шт,47.99,,200 мл
251C13033,"Сок Добрый Супер Джус Active kid яблоко, вишня 200мл",шт,47.99,,200 мл
251C13034,Салфетки Honey Kid влажные гигиенические детские 120шт.,шт,123.99,,120 шт
251C13034,Салфетки Красная Цена влажные детские 60шт,шт,69.99,,60 шт
251C13034,Кондиционер Вернель Детский для белья концентрированный 910мл,шт,209.99,,910 мл
251C13034,Мыло жидкое Honey Kid с экстрактом оливы и алоэ вера детское 300мл,шт,102.99,,300 мл
251C13034,Мыло детское Honey Kid с экстрактом ромашки 90г,шт,31.99,,1 шт
251C13034,Пеленки Honey Kid  одноразовые впитывающие белого цвета для ухода за детьми 10шт.,шт,205.99,,10 шт
251C13034,Подгузники-трусики Honey Kid Junior 11-25кг 16шт.,шт,389.99,,16 шт
251C13034,Порошок стиральный Ушастый нянь для детского белья 400г,шт,105.99,,400 г
251C13034,Подгузники-трусики Красная цена Junior 5XL 12-20кг 32шт,шт,699.99,,32 шт
251C13034,Зубная паста Stardent Kids Клубника детская 2+ 50мл,шт,105.99,,50 мл
251C13034,Шампунь Honey Kid детский 250мл,шт,105.99,,250 мл
251C13034,Стиральный порошок Tide Color гипоаллергенный 2.4кг,шт,359.99,,2.4 кг
251C13034,Крем Honey Kid детский с пантенолом 50мл,шт,52.99,,50 мл
251C13034,Порошок Ушастый Нянь для стирки детского белья 2.4кг,шт,409.99,,2.4 кг
251C13034,Подгузники-трусики Nishoomi 4L 9-14 кг 38шт.,шт,1029.0,,38 шт
251C13034,Подгузники Honey Kid Junior 11-25кг 10шт,шт,229.99,,10 шт
251C13034,Подгузники-трусики Honey Kid Maxi 7-18кг 16шт.,шт,389.99,,16 шт
251C13034,Средство для купания и шампунь Honey Kid 2в1 750мл,шт,286.99,,750 мл
251C13034,Салфетки Nishoomi влажные детские 72шт.,шт,185.99,,72 шт
251C13034,Трусики-подгузники Huggies 6 размер 15-25кг 32шт.,шт,1029.0,,32 шт
251C13034,Подгузники Красная Цена детские L 9-14кг 38шт.,шт,399.99,,38 шт
251C13034,Подгузники Honey Kid Maxi размер 4 7-18кг 12шт.,шт,229.99,,12 шт
251C13034,Гель Honey Kid для подмывания малыша 400мл,шт,209.99,,400 мл
251C13034,Трусики-подгузники Huggies Skin Comfort 5 размер 12-17кг 34шт.,шт,1029.0,,34 шт
251C13034,Салфетки Honey Kid влажные детские с алоэ 20шт,шт,47.99,,20 шт
251C13034,Зубная паста Stardent Junior Джуси фрут детская 6+ 50мл,шт,105.99,,50 мл
251C13034,Мыло детское Тик-Так с экстрактом зверобоя 150г,шт,73.99,,150 г
251C13034,Мыло хозяйственное Ушастый Нянь против пятен 180г,шт,71.99,,180 г
251C13034,Крем Аванта Детский в футляре 46мл,шт,63.99,,46 мл
251C13034,Трусики-подгузники Huggies Skin Comfort 4 размер 9-14кг 38шт.,шт,1029.0,,38 шт
251C13034,Гель для стирки Персил Sensitive Алоэ Вера 1.3л,шт,455.99,,1.3 л
251C13034,Салфетки Honey Kid влажные детские 2х72шт,шт,189.99,,144 шт
251C13034,Подгузники-трусики Honey Kid Junior 11-25кг 40шт.,шт,926.99,,40 шт
251C13034,Подгузники Honey Kid Midi 4-9кг 14шт.,шт,229.99,,14 шт
251C13034,Подгузники Huggies Ultra comfort 5 размер 12-22кг 42шт.,шт,1029.0,,42 шт
251C13034,Мыло Невская Косметика Детское туалетное 4х100г,шт,148.99,,4 шт
251C13034,Зубная щетка Stardent мягкая для детей 6+ в ассортименте 1шт,шт,73.99,,1 шт
251C13034,Подгузники Nishoomi 1NB до 5кг 24шт.,шт,415.99,,24 шт
251C13034,Подгузники Huggies Ультра Комфорт 4 размер 8-14кг 50шт.,шт,1029.0,,50 шт
251C13034,Подгузники Nishoomi 3M 6-11 кг 52шт.,шт,1069.0,,52 шт
251C13034,Трусики-подгузники Huggies Elite Soft 5 размер 12-17кг 34шт.,шт,1239.0,,34 шт
251C13034,Подгузники-трусики Huggies Elite Soft размер 6 15-25кг 32шт.,шт,1239.0,,32 шт
251C13034,Подгузники Nishoomi 2S 4-8 кг 24шт.,шт,409.99,,24 шт
251C13034,Крем-мыло детское Мое Солнышко с пантенолом 300мл,шт,123.99,,300 мл
251C13034,Шампунь-гель для душа детский Шаума Kids Нежный и бережный уход для волос и кожи детей 350мл,шт,206.99,,350 мл
251C13034,Зубная щетка Splat Juicy Lab Магия единорога для детей с 5 лет жемчужная,шт,158.99,,1 шт
251C13034,Подгузники-трусики Honey Kid Maxi 7-18кг 44шт.,шт,926.99,,44 шт
251C13034,Трусики-подгузники Huggies Elite Soft размер 4 9-14кг 38шт.,шт,1239.0,,38 шт
251C13034,Трусики-подгузники Huggies Skin Comfort размер 3 6-11кг 48шт.,шт,1029.0,,48 шт
251C13034,Подгузники Honey Kid Junior 11-25кг 56шт.,шт,926.99,,56 шт
251C13034,Ополаскиватель Лесной Бальзам для полости рта детский от 7 лет 250мл,шт,139.99,,250 мл
251C13034,Подгузники Nishoomi 4L 9-14 кг 38шт.,шт,953.99,,38 шт
251C13034,Подгузники Honey Kid Maxi 7-18кг 64шт.,шт,926.99,,64 шт
251C13034,Подгузники Huggies Elite Soft р.1 3-5кг 50шт.,шт,999.99,,50 шт
251C13034,Подгузники Huggies Elite Soft 2 4-6кг 50шт.,шт,892.99,,50 шт
251C13034,Кондиционер для детского белья 1л,шт,208.99,,1 л
251C13034,Подгузники Honey Kid Midi 4-9кг 72шт,шт,926.99,,72 шт
251C13034,Подгузники Huggies Ультра Комфорт 3 размер 5-9кг 56шт.,шт,1089.0,,56 шт
251C13034,Зубная щетка Stardent Kids мягкая для детей 2+ 1шт.,шт,73.99,,1 шт
251C13034,Масло детское Dr.Тuttelle 150мл,шт,339.99,,150 мл
251C13034,Детское молочко dr.tuttelle для тела 0+ 150 мл,шт,267.99,,150 мл
251C13034,Гель Лапочки-ладошки очищающий для рук для детей косметический 100мл,шт,359.99,,100 мл
251C13035,Машинка Unic-toys детская с инерционным механизмом в ассортименте 1шт.,шт,239.99,159.99,1 шт
251C13035,Игрушка Плюшевая мягкая в ассортименте 1шт.,шт,267.99,,35 г
251C13035,Игрушка Спецтехника 8х4.5х5 см в ассортименте 1шт,шт,247.99,,10 г
251C13035,Игрушка Unic Toys Животное в ассортименте 1шт.,шт,123.99,,1 шт
251C13035,Набор украшений Barbie для детей в ассортименте 1шт.,шт,399.99,129.99,1 шт
251C13035,Игрушка Unic Toys Машинка в ассортименте 1 шт.,шт,123.99,,1 шт
251C13035,Набор Unic Toys для лепки NL2 1шт,шт,199.99,129.99,1 шт
251C13035,Игрушка Unic Toys изображающая животное в ассортименте 1шт.,шт,102.99,,1 шт
251C13035,Набор Hot wheels Машинка игровой 43925 5см в ассортименте 1шт,шт,399.99,129.99,1 шт
251C13035,Машинка Unic-toys для детей старше трех лет в ассортименте 1шт.,шт,239.99,159.99,1 шт
251C13035,Игрушка Бластер с мягкими пулями в ассортименте 1шт.,шт,247.99,,63 г
251C13035,Игрушка Технопарк Гоночная машина для детей в ассортименте 1шт.,шт,169.99,149.99,1 шт
251C13035,Игрушка Машинка в ассортименте 1шт.,шт,247.99,,76 г
251C13035,Игрушка-сквиши KiddiePlay набор для детей 2шт,шт,102.99,,2 шт
251C13035,Игрушка KiddiePlay Цветозавры меняющие цвет в ассортименте 1шт.,шт,69.99,61.99,1 шт
251C13035,Игрушка Unic-Toys Машинка с инерционным механизмом в ассортименте 1шт.,шт,199.99,159.99,1 шт
251C13035,Набор Kiddieplay Игрушки-сквиши мини в ассортименте 1шт.,шт,79.99,59.99,1 шт
251C13035,Игрушка Выскользун в ассортименте 1шт.,шт,199.99,159.99,1 шт
251C13035,Игрушка Конфитрейд Фигурка в ассортименте 1шт.,шт,123.99,,1 шт
251C13035,Браслет Конфитрейд со съемными насадками в ассортименте 1шт.,шт,123.99,,1 шт
251C13035,Игрушка Заводная в ассортименте 1шт.,шт,247.99,,1 шт
251C13035,Набор Конфитрейд 1шт.,шт,133.99,,1 шт
251C13035,Игрушка Мини-пони с аксессуаром в ассортименте 1шт.,шт,236.99,,27 г
251C13035,Игрушка Слайм в ассортименте 1шт.,шт,133.99,,1 шт
251C13035,Игрушка Unic Toys Пушистик изображающая сказочное существо в ассортименте 1шт.,шт,102.99,,1 шт
251C13035,Игрушка кукла Fresh Trend фея в ассортименте 1шт.,шт,133.99,,1 шт
251C13035,Игрушка Кукла-Конструктор для конструирования в ассортименте 1шт.,шт,102.99,,1 шт
251C13035,Игрушка Мялка Мяшка-милашка 1шт в ассортименте,шт,133.99,,1 шт
251C13035,Игрушка Собачка в ассортименте 1шт.,шт,247.99,,21 г
251C13035,"Набор Конфитрейд пуллер, значок и наклейки в ассортименте 1шт.",шт,123.99,,1 шт
251C13035,Игрушка-сквиши KiddiePlay для детей 1шт.,шт,205.99,,1 шт
251C13035,Игрушка Unic-toys Фингерборд для детей старше трех лет в ассортименте 1шт.,шт,239.99,159.99,1 шт
251C13035,Игрушка Cruel fuel Машинка 7см в ассортименте 1шт.,шт,499.99,199.99,1 шт
251C13035,Игрушка Робот с инерционным механизмом в ассортименте 1шт.,шт,247.99,,1 шт
251C13035,Машинка Unic-toys детская с инерционным механизмом в ассортименте 1шт.,шт,239.99,159.99,1 шт
