category_id,name,unit_of_measurement,price_reg,price_disc,pricing_clarification
251C13050,Наггетсы Мираторг Хрустящие куриные 300г,шт,144.99,,300 г
251C13050,Чебупицца Пепперони Горячая Штучка 250г,шт,239.98,,250 г
251C13050,Наггетсы Вязанка куриные 250г,шт,239.98,,250 г
251C13050,Хотстеры Горячая Штучка 250г,шт,198.99,,250 г
251C13050,Чебупицца Курочка по-итальянски Горячая Штучка 250г,шт,209.99,,250 г
251C13050,Чебупели с ветчиной и сыром Горячая штучка 250г,шт,209.99,,250 г
251C13050,Наггетсы Вязанка с индейкой замороженные 250г,шт,222.99,,250 г
251C13050,Чебупели Сочные с мясом Горячая Штучка 250г,шт,199.99,,250 г
251C13050,Наггетсы Мираторг Классические куриные 300г,шт,223.99,205.99,300 г
251C13050,Котлеты Ложкаревъ По-домашнему замороженные 400г,шт,98.99,,400 г
251C13050,Наггетсы Мираторг куриные с сыром 300г,шт,205.99,,300 г
251C13050,Печень говяжья замороженная,кг,329.99,,Цена за 1 кг
251C13050,Наггетсы Красная Цена из мяса цыпленка 300г,шт,98.99,,300 г
251C13050,Котлеты Ложкаревъ куриные в панировке замороженные 400г,шт,109.99,,400 г
251C13050,Рагу Мираторг из мраморной говядины замороженное 1000г,шт,185.99,,1 кг
251C13050,Кордон Блю Рестория с сыром и ветчиной 440г,шт,352.99,,440 г
251C13050,Наггетсы Золотой петушок Хрустящие из мяса цыпленка 300г,шт,233.99,,300 г
251C13050,Наггетсы Золотой петушок Традиционные из мяса цыпленка  300г,шт,215.99,175.99,300 г
251C13050,Ножки свиные замороженные,кг,144.99,,Цена за 1 кг
251C13050,Крылышки Хрустящие острые к пиву Горячая Штучка 300г,шт,313.99,,300 г
251C13050,Головы цыплят замороженные,кг,102.99,,Цена за 1 кг
251C13050,Котлеты Рестория По-Киевски из мяса птицы замороженные 390г,шт,369.99,,390 г
251C13050,Мясо Диета 18 котлетное из говядины замороженное 500г,шт,302.99,,500 г
251C13050,Мясные шарики Dance-боллы из мяса индейки запеченные замороженные Индилайт 250г,шт,299.99,175.99,250 г
251C13050,Окорочок утки Утиная ферма Оригинальный в маринаде замороженный,кг,605.99,,Цена за 1 кг
251C13050,Котлеты куриные запеченные замороженные Главобед 340г,шт,314.99,,340 г
251C13050,Запеканка картофельная замороженная Разогрей-Ка 250г,шт,199.99,,250 г
251C13050,Утёнок Улыбино в горчично-пряном маринаде замороженный,кг,514.99,,Цена за 1 кг
251C13050,Наггетсы Горячая штучка в панировке замороженные 200г,шт,199.99,129.99,200 г
251C13050,Котлеты Элика Белорусские из мяса цыплят и мяса индейки замороженные 280г,шт,175.99,,280 г
251C13050,Крем-суп Фросток из грибов замороженный 280г,шт,153.99,,280 г
251C13050,Котлеты растительные замороженные Hi 200г,шт,229.99,189.99,200 г
251C13050,Спагетти Карбонара замороженные Фросток 210г,шт,288.99,,210 г
251C13050,Беляши Омские жареные замороженные Дарина 400г,шт,299.99,249.99,400 г
251C13050,Котлеты Домилле Сочные замороженные 560г,шт,294.99,,560 г
251C13051,Пельмени Горячая штучка Бульмени со сливочным маслом 400г,шт,189.99,,400 г
251C13051,Пельмени Sибирская Коллекция Сочные со сливочным маслом 400г,шт,99.99,,400 г
251C13051,Пельмени Горячая штучка Бульмени с говядиной и свининой 400г,шт,189.99,,400 г
251C13051,Пельмени Омпк Останкинские 500г,шт,169.99,129.99,500 г
251C13051,Пельмени Горячая штучка Бульмени с говядиной и свининой 700г,шт,343.99,,700 г
251C13051,Вареники Рестория с картофелем и грибами 450г,шт,133.99,,450 г
251C13051,Пельмени Цезарь Классика 800г,шт,309.99,,800 г
251C13051,Пельмени Горячая штучка Бигбули с мясом 700г,шт,369.99,,700 г
251C13051,Пельмени Сибирская Коллекция Сочные с фаршем на молоке 700г,шт,199.99,,700 г
251C13051,Пельмени Рестория Классические 800г,шт,299.99,249.99,800 г
251C13051,Пельмени Сибирская Коллекция Домашние 700г,шт,279.99,,700 г
251C13051,Пельмени Мираторг из мраморной говядины 800г,шт,429.99,,800 г
251C13051,"Вареники Сытый Папа с картофелем, луком и грибами 450г",шт,179.99,119.99,450 г
251C13051,Пельмени Атяшево Домашние 500г,шт,229.99,,500 г
251C13051,Пельмени Мираторг Богатырский Рецепт категории Б 700г,шт,619.99,,700 г
251C13051,Вареники Sибирская Kоллекция с картофелем и зеленью 500г,шт,102.99,,500 г
251C13051,Вареники Рестория с творогом 450г,шт,199.99,164.99,450 г
251C13051,Пельмени ОМПК Останкинские 900г,шт,329.99,,900 г
251C13051,Пельмени Цезарь Гордость Сибири 800г,шт,317.99,,800 г
251C13051,Пельмени Сибирская Коллекция классические 700г,шт,599.99,350.99,700 г
251C13051,Дамплинги Bibigo королевские замороженные 385г,шт,349.99,,385 г
251C13051,Пельмени Мясной Дворик Cибирские халяль 800г,шт,599.99,308.99,800 г
251C13051,Пельмени Сибирская Коллекция Фирменные 700г,шт,529.99,,700 г
251C13051,Пельмени Красная Цена Классические 450г,шт,79.99,,450 г
251C13051,Пельмени Мираторг С натуральными сливками 700г,шт,279.99,257.99,700 г
251C13051,Пельмени Сибирская Коллекция Иркутские 700г,шт,784.99,,700 г
251C13051,Пельмени Супермени со сливочным маслом Горячая Штучка 200г,шт,149.99,109.99,200 г
251C13051,Пельмени Сибирская Коллекция Классические 4 вида мяса 700г,шт,579.99,319.99,700 г
251C13051,Пельмени Цезарь Император 800г,шт,847.99,,800 г
251C13051,Пельмени Вкус & Польза c курицей 500г,шт,299.99,249.99,500 г
251C13051,Пельмени Сибирская Коллекция мини с телятиной категория Б 700г,шт,737.99,,700 мл
251C13051,Пельмени Рестория Фирменные 700г,шт,349.99,299.99,700 г
251C13051,Пельмени Delikaiser Сочные 400г,шт,222.99,,400 г
251C13051,Хинкали Элика По-грузински замороженные 800г,шт,419.99,329.99,800 г
251C13051,Пельмени Вкус & Польза c индейкой 800г,шт,599.99,,800 г
251C13052,Смесь овощная Global Village мексиканская 400г,шт,159.99,,400 г
251C13052,Клубника Красная цена быстрозамороженная 300г,шт,119.99,,300 г
251C13052,Смесь овощная Global Village 8 Овощей быстрозамороженная 400г,шт,164.99,,400 г
251C13052,Капуста брокколи Красная цена быстрозамороженная 700г,шт,219.99,,700 г
251C13052,Капуста Красная Цена цветная быстрозамороженная 700г,шт,208.99,,700 г
251C13052,Вишня Global Village без косточки замороженная 300г,шт,264.99,205.99,300 г
251C13052,Картофель Global Village Selection фри быстрозамороженный 700г,шт,279.99,239.99,700 г
251C13052,Фасоль Global Village стручковая замороженная 400 г,шт,164.99,,400 г
251C13052,Фасоль Красная Цена зеленая стручковая резаная 700г,шт,189.99,,700 г
251C13052,Шампиньоны Красная Цена резаные быстрозамороженные 700г,шт,179.99,,700 г
251C13052,Ассорти Красная Цена компотное быстрозамороженное 300г,шт,114.99,,300 г
251C13052,Смесь овощная Мираторг Итальянская замороженная 400г,шт,214.99,195.99,400 г
251C13052,Картофель Красная цена замороженный для жарки 700г,шт,179.99,,700 г
251C13052,Смесь овощная Морозко Гавайская замороженная 400г,шт,99.99,,400 г
251C13052,Облепиха Global Village быстрозамороженная 300г,шт,219.99,159.99,300 г
251C13052,Смесь овощная Морозко Рагу замороженная 400г,шт,84.99,,400 г
