category_id,name,unit_of_measurement,price_reg,price_disc,pricing_clarification
251C13064,Сухарики Три корочки Семга и сыр 60г + соус тартар 25мл,шт,39.99,,88 г
251C13064,Чипсы картофельные Lay's Рифленые Сметана и лук 140г,шт,179.99,,140 г
251C13064,Чипсы картофельные Lay's Из печи Лисички в сметане 85г,шт,129.99,,85 г
251C13064,Сухарики Хрусteam Сметана 40г,шт,27.99,,40 г
251C13064,Чипсы картофельные Lay's Рифленые Лобстер 140г,шт,179.99,,140 г
251C13064,Чипсы картофельные Lay's Зеленый лук 140г,шт,179.99,,140 г
251C13064,Сухарики Хрусteam Багет Сыр 60г,шт,56.99,,60 г
251C13064,Чипсы картофельные Lay's Краб 140г,шт,179.99,,140 г
251C13064,Чипсы  Lay's из натурального картофеля рифленые со вкусом Гребешки в сливочно-пикантном соусе 105г,шт,179.99,149.99,105 г
251C13064,Чипсы картофельные Lay's Сметана и зелень 225г,шт,219.99,,225 г
251C13064,Чипсы картофельные Lay's со вкусом Сыра 70г,шт,89.99,,70 г
251C13064,Чипсы картофельные Lay's с солью 140г,шт,179.99,,140 г
251C13064,Сухарики Три Корочки Холодец с хреном 40г,шт,20.99,,40 г
251C13064,Чипсы Twister Колбаски гриль с горчицей 150г,шт,145.59,129.99,150 г
251C13064,Чипсы Lorenz Pomsticks соломкой с солью 100г,шт,94.99,,100 г
251C13064,Сухарики Хрусteam Багет томат-зелень 60г,шт,56.99,,60 г
251C13064,Гренки Фишка со вкусом альпийской сметаны с луком 120г,шт,76.99,,120 г
251C13064,Чипсы Twister Белые грибы в сливочном соусе 150г,шт,149.99,,150 г
251C13064,Чипсы картофельные Lay's Рифленые Паприка 140г,шт,179.99,,140 г
251C13064,Чипсы Русская Картошка Зеленый лук и сметана 190г,шт,219.99,,190 г
251C13064,Чипсы картофельные Twister со вкусом сметаны и лука 150г,шт,149.99,,150 г
251C13064,Чипсы Lit Energy Паприка из натурального картофеля 120г,шт,165.99,,120 г
251C13064,Чипсы картофельные Lay's Stax Нежная сметана и лук 140г,шт,233.99,,140 г
251C13064,Картофель Twister хрустящий со вкусом краба 150г,шт,149.99,,150 г
251C13064,Гренки Дон Крутон пшеничные со вкусом тайского перца 130г,шт,86.99,,130 г
251C13064,Чипсы Lit Energy Сметана зелень 120г,шт,159.99,,120 г
251C13064,Чипсы картофельные Lay's Рифленые Сметана и лук 225г,шт,233.99,,225 г
251C13064,Чипсы Lay's из натурального картофеля со вкусом Запеченный Камамбер с грушей 105г,шт,179.99,149.99,105 г
251C13064,Сухарики-гренки Воронцовские ржаные со вкусом чеснока 60г,шт,54.99,,60 г
251C13064,Чипсы картофельные Lay's Краб 225г,шт,233.99,,225 г
251C13064,Чипсы картофельные соломкой Pomsticks со вкусом сметаны и специй 100г,шт,89.99,,100 г
251C13064,Чипсы Twister Картофель хрустящий со вкусом зеленого лука 150г,шт,142.99,,150 г
251C13064,Начос Delicados Нежнейший сыр кукурузные 150г,шт,142.99,109.99,150 г
251C13064,Чипсы Русская Картошка Краб 190г,шт,222.99,,190 г
251C13064,"Чипсы картофельные Twister с солью, 70г",шт,82.99,57.99,70 г
251C13064,Чипсы Twister Картофельная соломка со вкусом сыра 50г,шт,52.99,,50 г
251C13064,Гренки Фишка Чесночные 120г,шт,76.99,,120 г
251C13064,Чипсы картофельные А4 Сметана и зелень 50г,шт,76.99,,50 г
251C13064,Гренки Mix-bar ржано-пшеничные с чесноком 70г,шт,84.99,69.99,70 г
251C13064,Чипсы Bruto из натурального картофеля с морской солью и черным перцем 120г,шт,159.99,,120 г
251C13064,Чипсы картофельные Lay's со вкусом Красной икры 120г,шт,179.19,164.99,120 г
251C13064,Чипсы картофельные Lorenz Naturals Классические с солью 100г,шт,109.99,,100 г
251C13064,Флайчипсы Вкус & Польза зерновые с томатом и оливками 40г,шт,92.99,,40 г
251C13064,Чипсы Lay's Игристое картофельные 120г,шт,179.99,159.99,120 г
251C13064,Чипсы Lava-Lava Сметана-зелень картофельные 50г,шт,78.39,69.99,50 г
251C13064,Гренки Дон Крутон ржано-пшеничные с чесноком 130г,шт,86.99,,130 г
251C13064,Чипсы картофельные Lorenz Naturals с паприкой 100г,шт,109.99,,100 г
251C13064,Чипсы Lay's Черная икра картофельные 110г,шт,179.99,164.99,110 г
251C13064,Чипсы Вкус & Польза фруктовые яблочные 25г,шт,90.99,,25 г
251C13065,Крекер Tuc со сметаной и луком 100г,шт,73.99,,100 г
251C13065,Хлебцы Хлебцы Молодцы Фитнес линия цельнозерновые витамин плюс хрустящие 100г,шт,55.99,,100 г
251C13065,Крендельки Зерница с солью 100г,шт,29.99,,100 г
251C13065,Крекер Зерница с луком 200г,шт,47.99,,200 г
251C13065,Крекер Красная цена Рыбки 200г,шт,32.99,,200 г
251C13065,Хлебные палочки Saltletts Классические соленые 150г,шт,84.99,,150 г
251C13065,Хлебцы Хлебцы Молодцы Лайт ржаные вафельные хрустящие 70г,шт,59.99,44.99,70 г
251C13065,Хлебцы Dr.Korner Карамельные кукурузно-рисовые без глютена 90г,шт,102.99,79.99,90 г
251C13065,Крекер Tuc Мини со вкусом сыра соленый 110г,шт,119.99,,110 г
251C13065,Крекер Tuc со вкусом пиццы 100г,шт,73.99,,100 г
251C13065,Соломка Saltletts Мини-палочки соленые 70г,шт,31.99,,70 г
251C13065,"Крекер Яшкино Французский хрустящий с кунжутом, 185г",шт,52.99,,185 г
251C13065,Хлебцы  Вкус & Польза Ржаные вафельные хрустящие с витаминами и минералами 70г,шт,46.99,,70 г
251C13065,Хлебцы Dr.Korner Злаковый Микс хрустящие 90г,шт,50.99,,90 г
251C13065,Хлебцы Dr.Korner гречневые с витаминами 100г,шт,109.99,,100 г
251C13065,Хлебцы рисовые Агуша Полезный Перекус Ягоды детский с 12 месяцев 30г,шт,56.99,,30 г
251C13065,Крендели Saltletts Классические с солью 150г,шт,84.99,,150 г
251C13065,Крекер Зерница с кунжутом и семенами льна 180г,шт,62.99,,180 г
251C13065,Хлебцы Щедрые ржаные 100г,шт,57.99,,100 г
251C13065,Хлебцы Щедрые ржаные тонкие 170г,шт,116.99,,170 г
