category_id,name,unit_of_measurement,price_reg,price_disc,pricing_clarification
73C24773,Блины с творогом С Пылу с Жару 360г,шт,199.99,149.99,360 г
73C24773,Блины с мясом С Пылу с Жару 360г,шт,199.99,139.99,360 г
73C24773,Блины с мясом Останкино 420г,шт,185.99,,420 г
73C24773,Блины с вишней С Пылу с Жару 360г,шт,175.99,,360 г
73C24773,Блинчики для фаршировки С пылу с жару 310г,шт,113.99,,310 г
73C24773,Блины с ветчиной и сыром С Пылу с Жару 360г,шт,195.99,,360 г
73C24773,Блины с куриным мясом Останкино 420г,шт,169.99,139.99,420 г
73C24773,Блинчики с мясом Красная цена 420г,шт,99.99,,420 г
73C24773,Оладьи По-домашнему Пятерочка Кафе 160г,шт,89.99,,160 г
73C24773,Оладьи оладушки С Пылу С Жару 280г,шт,109.99,92.99,280 г
73C24773,Блинчики без начинки Пятерочка Кафе 200г,шт,99.99,,200 г
73C24773,Блинчики шоколадные с белым шоколадом замороженные С пылу с жару 220г,шт,243.99,,220 г
73C24773,Блинчики с ветчиной и сыром Пятерочка Кафе 160г,шт,109.99,,160 г
73C24773,Блины с печенью замороженные Останкино 420г,шт,154.99,,420 г
73C24773,Блинчики с мясом Пятерочка Кафе 160г,шт,139.99,,160 г
