,name,price,pricing_unit,supermarket,product_type,weight,price_kg,number_of_units,price_unit,volume,price_lit
0,"Макароны PASTA ZARA Спагетти, 500г",121.05,500г,Lenta,spaghetti,500.0,242.1,,,,
21,"Макароны DE CECCO Спагетти №12, 500г",382.49,500г,Lenta,spaghetti,500.0,764.98,,,,
35,"Макароны 365 ДНЕЙ Спагетти, группа В высший сорт, 400г",23.49,400г,Lenta,spaghetti,400.0,58.725,,,,
37,"Макароны AIDA Спагетти группа А высший сорт, 500г",84.2,500г,Lenta,spaghetti,500.0,168.4,,,,
45,"Макароны AMERIA Спагетти №3, группа В высший сорт, 900г",100.99,900г,Lenta,spaghetti,900.0,112.21111111111111,,,,
46,"Макароны GRANMULINO Premium Спагетти, 400г",107.49,400г,Lenta,spaghetti,400.0,268.72499999999997,,,,
47,"Макароны безглютеновые FEDERICI Спагетти, 400г",210.59,400г,Lenta,spaghetti,400.0,526.475,,,,
74,"Макароны ШЕБЕКИНСКИЕ Спагеттини №001, 450г",79.99,450г,Lenta,spaghetti,450.0,177.75555555555556,,,,
88,"Макароны GRAND DI PASTA Спагетти, 450г",104.2,450г,Lenta,spaghetti,450.0,231.55555555555557,,,,
90,"Макароны MAKFA Спагетти, вермишель длинная, 450г",74.99,450г,Lenta,spaghetti,450.0,166.64444444444442,,,,
104,"Макароны MARCO PANATTI Спагетти группа А высший сорт, 800г",90.49,800г,Lenta,spaghetti,800.0,113.1125,,,,
110,"Макароны ЛЕНТА Спагетти группа А, высший сорт, 450г",63.19,450г,Lenta,spaghetti,450.0,140.42222222222222,,,,
113,"Макароны безглютеновые ЛЕНТА LIFE Спагетти, из кукурузной муки, 300г",105.29,300г,Lenta,spaghetti,300.0,350.9666666666667,,,,
116,"Макароны MARCO PANATTI Спагетти, 400г",94.79,400г,Lenta,spaghetti,400.0,236.97500000000002,,,,
117,"Макароны ВЫБОР СЕМЬИ Спагетти группа В, 400г",42.19,400г,Lenta,spaghetti,400.0,105.475,,,,
352,"Филе грудки куриное ЛЕНТА FRESH, весовое",263.2,,Lenta,chicken_fillet,1000.0,263.2,,,,
360,"Филе куриное ПЕТЕЛИНКА, весовое",521.09,,Lenta,chicken_fillet,1000.0,521.09,,,,
371,"Филе грудки куриное ПЕРВАЯ СВЕЖЕСТЬ, весовое",445.31,,Lenta,chicken_fillet,1000.0,445.31,,,,
380,"Филе куриное ТРОЕКУРОВО, 900г",452.69,900г,Lenta,chicken_fillet,900.0,502.98888888888894,,,,
392,"Филе грудки ПАВА ПАВА большое, 800г",642.19,800г,Lenta,chicken_fillet,800.0,802.7375000000001,,,,
409,"Капуста белокочанная, весовая",155.97,,Lenta,cabbage,1000.0,155.97,,,,
411,"Морковь мытая, 1кг",78.99,1000г,Lenta,carrot,1000.0,78.99,,,,
414,"Томаты сливовидные, весовые",202.63,,Lenta,tomato,1000.0,202.63,,,,
415,"Огурец длинноплодный, шт",136.89,1шт,Lenta,cucumber,,,1.0,136.89,,
416,"Капуста белокочанная новый урожай, весовая",284.28,,Lenta,cabbage,1000.0,284.28,,,,
420,"Морковь мытая, весовая",42.15,,Lenta,carrot,1000.0,42.15,,,,
425,"Морковь мытая, 600г",73.69,600г,Lenta,carrot,600.0,122.81666666666666,,,,
426,"Лук репчатый, фасованный, весовой",110.54,,Lenta,onion,1000.0,110.54,,,,
428,"Томаты Бакинские, весовые",289.5,,Lenta,tomato,1000.0,289.5,,,,
429,"Огурцы среднеплодные гладкие, весовые",110.53,,Lenta,cucumber,1000.0,110.53,,,,
430,"Томаты розовые, Азербайджан, весовые",194.75,,Lenta,tomato,1000.0,194.75,,,,
