id,name,parent_id,parent_name,slug,level
20638,Постно и полезно,,,postno-i-polezno,1
20459,Дарите цветы,,,darite-cvety,1
17036,Алкоголь,,,alkogol,1
1893,Особенно выгодно,,,osobenno-vygodno,1
19305,Новинки,,,novinki,1
18427,Товары до 99 рублей,,,tovary-do-99-rublejj,1
42,Готовая еда,,,gotovaya-eda,1
18359,Только в Ленте,,,tolko-v-lente,1
144,Овощи и фрукты,,,ovoshchi-i-frukty,1
136,Мясо и птица,,,myaso-i-ptica,1
183,"Рыба, морепродукты",,,ryba-moreprodukty,1
3,Молочные продукты,,,molochnye-produkty,1
2,Сыры,,,syry,1
754,"Колбаса, сосиски",,,kolbasa-sosiski,1
77,Заморозка,,,zamorozka,1
165,Хлеб и выпечка,,,hleb-i-vypechka,1
25,Бакалея,,,bakaleya,1
242,"Кофе, чай, какао",,,kofe-chajj-kakao,1
1028,Сладости,,,sladosti,1
4,"Вода, сок, газировка",,,voda-sok-gazirovka,1
94,Консервы и соусы,,,konservy-i-sousy,1
20195,Снеки,,,sneki,1
1879,Здоровое питание,,,zdorovoe-pitanie,1
3509,Уход и гигиена,,,uhod-i-gigiena,1
1070,Бытовая химия,,,bytovaya-himiya,1
1427,Кухня,,,kuhnya,1
1731,Дача и сад,,,dacha-i-sad,1
17400,"Дом, интерьер",,,dom-interer,1
18134,Товары для животных,,,tovary-dlya-zhivotnyh,1
19327,Детское питание,,,detskoe-pitanie,1
19433,Товары для детей,,,tovary-dlya-detejj,1
18199,Автотовары,,,avtotovary,1
1419,Спорт и отдых,,,sport-i-otdyh,1
2673,Одежда и аксессуары,,,odezhda-i-aksessuary,1
1439,Бытовая техника,,,bytovaya-tehnika,1
18030,"Канцтовары, хобби, книги",,,kanctovary-hobbi-knigi,1
17997,Праздник,,,prazdnik,1
31,Макароны,25.0,Бакалея,makarony,2
85,Мороженое,77.0,Заморозка,morozhenoe,2
141,Мясо птицы,136.0,Мясо и птица,myaso-pticy,2
146,Овощи,144.0,Овощи и фрукты,ovoshchi,2
243,Кофе,242.0,"Кофе, чай, какао",kofe,2
285,"Соусы, кетчупы, майонез",94.0,Консервы и соусы,sousy-ketchupy-majjonez,2
786,"Пицца, шаурма, бургеры",42.0,Готовая еда,picca-shaurma-burgery,2
818,Пекарня ЛЕНТА FRESH,165.0,Хлеб и выпечка,pekarnya-lenta-fresh,2
1173,Охлажденная рыба,183.0,"Рыба, морепродукты",ohlazhdennaya-ryba,2
1489,Посуда для приготовления,1427.0,Кухня,posuda-dlya-prigotovleniya,2
2674,Женская одежда,2673.0,Одежда и аксессуары,zhenskaya-odezhda,2
2706,Постельные принадлежности,17400.0,"Дом, интерьер",postelnye-prinadlezhnosti,2
3027,Зимние виды спорта,1419.0,Спорт и отдых,zimnie-vidy-sporta,2
3256,Диетическое питание,1879.0,Здоровое питание,dieticheskoe-pitanie,2
16891,Алкоголь,15620.0,К Новогоднему столу,alkogol,2
17037,Вино,17036.0,Алкоголь,vino,2
18169,Большая упаковка,18134.0,Товары для животных,bolshaya-upakovka,2
19253,Виноград,19252.0,Сезонные фрукты,vinograd,2
19434,Товары для кормления,19433.0,Товары для детей,tovary-dlya-kormleniya,2
19820,"Колбасы вареные, варено-копченые",19819.0,"Вареные колбасы, ветчина, деликатесы",kolbasy-varenye-vareno-kopchenye,2
19821,Ветчина,19819.0,"Вареные колбасы, ветчина, деликатесы",vetchina,2
19824,"Колбасы сыро-вяленые, сыро-копченые",19823.0,Копченые и сыро-копченые колбасы,kolbasy-syro-vyalenye-syro-kopchenye,2
19826,"Деликатесы сыро-копченые, сыро-вяленные",19823.0,Копченые и сыро-копченые колбасы,delikatesy-syro-kopchenye-syro-vyalennye,2
19829,Комплекты постельного белья,19828.0,Постельное белье,komplekty-postelnogo-belya,2
19831,Подушки,19828.0,Постельное белье,podushki,2
19832,Одеяла,19828.0,Постельное белье,odeyala,2
19834,Сковороды,19833.0,Посуда для приготовления,skovorody,2
19835,"Кастрюли, ковши, казаны",19833.0,Посуда для приготовления,kastryuli-kovshi-kazany,2
19836,Посуда для выпечки и запекания,19833.0,Посуда для приготовления,posuda-dlya-vypechki-i-zapekaniya,2
19838,"Стиральные порошки, гели, капсулы",19837.0,Средства для стирки,stiralnye-poroshki-geli-kapsuly,2
19839,Средства по уходу за тканями,19837.0,Средства для стирки,sredstva-po-uhodu-za-tkanyami,2
19840,Специальные добавки для стирки,19837.0,Средства для стирки,specialnye-dobavki-dlya-stirki,2
19841,Детская бытовая химия,19837.0,Средства для стирки,detskaya-bytovaya-himiya,2
19843,Фермерские сыры,19842.0,Сыры,fermerskie-syry,2
19844,Твердые сыры,19842.0,Сыры,tverdye-syry,2
19845,Полутвердые сыры,19842.0,Сыры,polutverdye-syry,2
19846,Cыры с плесенью,19842.0,Сыры,cyry-s-plesenyu,2
19847,"Cыры плавленые, творожные",19842.0,Сыры,cyry-plavlenye-tvorozhnye,2
19848,Рассольные сыры,19842.0,Сыры,rassolnye-syry,2
19849,Другие сыры,19842.0,Сыры,drugie-syry,2
19858,Алкоголь,18359.0,Только в Ленте,alkogol,2
19878,"Мясо, рыба, полуфабрикаты",19876.0,PREMIUM CLUB,myaso-ryba-polufabrikaty,2
19968,"Подарочные наборы,сувениры,украшения",19967.0,Подарки НГ,podarochnye-naborysuveniryukrasheniya,2
19979,"Мясо, рыба, полуфабрикаты",19978.0,Каталог Супер Лента 21-27.11.,myaso-ryba-polufabrikaty,2
19998,"Мясные и рыбные полуфабрикаты,готовая еда",19997.0,Новогодний стол. 28.11.-11.12,myasnye-i-rybnye-polufabrikatygotovaya-eda,2
20077,Гастроном и замороженная продукция,20076.0,Чёрный Хватабрь,gastronom-i-zamorozhennaya-produkciya,2
20223,Алкоголь и соки,20222.0,"Каталог выгодных предложений, 12 дек. 2024-07 янв. 2025",alkogol-i-soki,2
20550,До -40% на экосредства SYNERGETIC,1893.0,Особенно выгодно,do--40-na-ekosredstva-synergetic,2
20631,Конcервированные овощи,94.0,Консервы и соусы,koncervirovannye-ovoshchi,2
20641,Постная выпечка,20638.0,Постно и полезно,postnaya-vypechka,2
20667,Орехи,20638.0,Постно и полезно,orehi,2
20683,Молочная гастрономия,19305.0,Новинки,molochnaya-gastronomiya,2
27,Крупы,25.0,Бакалея,krupy,2
43,Завтрак,42.0,Готовая еда,zavtrak,2
153,Фрукты,144.0,Овощи и фрукты,frukty,2
222,Диабетические продукты,1879.0,Здоровое питание,diabeticheskie-produkty,2
250,Чай,242.0,"Кофе, чай, какао",chajj,2
419,Свинина,136.0,Мясо и птица,svinina,2
807,"Батон, хлеб, лаваш",165.0,Хлеб и выпечка,baton-hleb-lavash,2
859,Пельмени и вареники,77.0,Заморозка,pelmeni-i-vareniki,2
1074,Средства для стирки,1070.0,Бытовая химия,sredstva-dlya-stirki,2
1169,Замороженная рыба,183.0,"Рыба, морепродукты",zamorozhennaya-ryba,2
1446,Чайники и термопоты,1439.0,Бытовая техника,chajjniki-i-termopoty,2
1495,Посуда для сервировки,1427.0,Кухня,posuda-dlya-servirovki,2
1756,Удобрения и грунты,1731.0,Дача и сад,udobreniya-i-grunty,2
2977,"Мягкий, плавленый, творожный",2.0,Сыры,myagkijj-plavlenyjj-tvorozhnyjj,2
3019,Велоспорт,1419.0,Спорт и отдых,velosport,2
3023,Туризм и рыбалка,1419.0,Спорт и отдых,turizm-i-rybalka,2
17983,Жевательная резинка,17982.0,У кассы,zhevatelnaya-rezinka,2
17998,Цветы,17997.0,Праздник,cvety,2
18031,Письменные принадлежности,18030.0,"Канцтовары, хобби, книги",pismennye-prinadlezhnosti,2
18351,Российское вино,17036.0,Алкоголь,rossijjskoe-vino,2
19208,Кулинария и пекарня Ленты,18359.0,Только в Ленте,kulinariya-i-pekarnya-lenty,2
19254,"Сливы, алыча",19252.0,Сезонные фрукты,slivy-alycha,2
19328,Детские смеси,19327.0,Детское питание,detskie-smesi,2
19335,Фруктовое пюре,19327.0,Детское питание,fruktovoe-pyure,2
19477,Пустышки и прорезыватели,19433.0,Товары для детей,pustyshki-i-prorezyvateli,2
19879,Сыры,19876.0,PREMIUM CLUB,syry,2
19969,Сладости и выпечка,19967.0,Подарки НГ,sladosti-i-vypechka,2
19980,Молочная продукция,19978.0,Каталог Супер Лента 21-27.11.,molochnaya-produkciya,2
20078,"Сладкое, выпечка",20076.0,Чёрный Хватабрь,sladkoe-vypechka,2
20213,"Алкоголь, соки",20211.0,"Сезонный каталог СМ, 12-25 дек. 2024",alkogol-soki,2
20224,"Гастроном, замороженные продукты",20222.0,"Каталог выгодных предложений, 12 дек. 2024-07 янв. 2025",gastronom-zamorozhennye-produkty,2
20497,Приготовлено в Ленте,18427.0,Товары до 99 рублей,prigotovleno-v-lente,2
20642,"Салаты, соленья",20638.0,Постно и полезно,salaty-solenya,2
20675,"Кукуруза, горошек, фасоль",94.0,Консервы и соусы,kukuruza-goroshek-fasol,2
20684,Мясные деликатессы,19305.0,Новинки,myasnye-delikatessy,2
20717,Сырокопченые и сыровяленые колбасы до 40%,1893.0,Особенно выгодно,syrokopchenye-i-syrovyalenye-kolbasy-do-40,2
5,Вода,4.0,"Вода, сок, газировка",voda,2
74,Жевательная резинка и освежающие конфеты,1028.0,Сладости,zhevatelnaya-rezinka-i-osvezhayushchie-konfety,2
82,Замороженные овощи и ягоды,77.0,Заморозка,zamorozhennye-ovoshchi-i-yagody,2
97,Рыбные консервы,94.0,Консервы и соусы,rybnye-konservy,2
192,Сахар и соль,25.0,Бакалея,sahar-i-sol,2
418,Говядина,136.0,Мясо и птица,govyadina,2
627,"Какао, цикорий, напитки",242.0,"Кофе, чай, какао",kakao-cikorijj-napitki,2
794,"Гриль, копчение",42.0,Готовая еда,gril-kopchenie,2
836,"Хлебцы, выпечка, сушки",165.0,Хлеб и выпечка,hlebcy-vypechka-sushki,2
1038,"Печенье, пряники, вафли",1028.0,Сладости,pechene-pryaniki-vafli,2
1071,Средства для мытья посуды,1070.0,Бытовая химия,sredstva-dlya-mytya-posudy,2
1177,Рыба соленая и копченая,183.0,"Рыба, морепродукты",ryba-solenaya-i-kopchenaya,2
1754,Садовый инвентарь,1731.0,Дача и сад,sadovyjj-inventar,2
1817,"Печи, грили и плиты",1439.0,Бытовая техника,pechi-grili-i-plity,2
2692,Детская одежда,2673.0,Одежда и аксессуары,detskaya-odezhda,2
2825,"Кухонные инструменты, аксессуары",1427.0,Кухня,kuhonnye-instrumenty-aksessuary,2
2976,Полутвердый,2.0,Сыры,polutverdyjj,2
3254,"БАДы, спортивное питание",1879.0,Здоровое питание,bady-sportivnoe-pitanie,2
17042,"Шампанское, игристые вина",17036.0,Алкоголь,shampanskoe-igristye-vina,2
17984,"Шоколад, батончики",17982.0,У кассы,shokolad-batonchiki,2
18000,Конфеты и подарочные наборы,17997.0,Праздник,konfety-i-podarochnye-nabory,2
18032,Бумажная продукция,18030.0,"Канцтовары, хобби, книги",bumazhnaya-produkciya,2
19120,Сладости и выпечка,18359.0,Только в Ленте,sladosti-i-vypechka,2
19336,Мясное и овощное пюре,19327.0,Детское питание,myasnoe-i-ovoshchnoe-pyure,2
19496,Подгузники и пеленки,19433.0,Товары для детей,podguzniki-i-pelenki,2
19880,Бакалея и консервация,19876.0,PREMIUM CLUB,bakaleya-i-konservaciya,2
19881,"Масло, соусы",19876.0,PREMIUM CLUB,maslo-sousy,2
19970,Алкоголь,19967.0,Подарки НГ,alkogol,2
19981,"Товары бакалеи, снеки",19978.0,Каталог Супер Лента 21-27.11.,tovary-bakalei-sneki,2
20214,"Бакалея, кондитерские изделия, гигиена",20211.0,"Сезонный каталог СМ, 12-25 дек. 2024",bakaleya-konditerskie-izdeliya-gigiena,2
20225,"Сладкое, выпечка, бакалея",20222.0,"Каталог выгодных предложений, 12 дек. 2024-07 янв. 2025",sladkoe-vypechka-bakaleya,2
20501,Молочный прилавок,18427.0,Товары до 99 рублей,molochnyjj-prilavok,2
20646,"Колбаса, сосиски, паштеты",20638.0,Постно и полезно,kolbasa-sosiski-pashtety,2
20679,"Закуски, икра",94.0,Консервы и соусы,zakuski-ikra,2
20685,"Хлеб, выпечка",19305.0,Новинки,hleb-vypechka,2
20697,"Чипсы, сухарики и другие снеки со скидками до 45%",1893.0,Особенно выгодно,chipsy-suhariki-i-drugie-sneki-so-skidkami-do-45,2
7,Газировка,4.0,"Вода, сок, газировка",gazirovka,2
78,Замороженные блюда,77.0,Заморозка,zamorozhennye-blyuda,2
96,"Оливки, маслины",94.0,Консервы и соусы,olivki-masliny,2
159,Ягоды,144.0,Овощи и фрукты,yagody,2
187,Морепродукты,183.0,"Рыба, морепродукты",moreprodukty,2
221,Без глютена,1879.0,Здоровое питание,bez-glyutena,2
268,Вторые блюда,42.0,Готовая еда,vtorye-blyuda,2
405,Масло растительное,25.0,Бакалея,maslo-rastitelnoe,2
679,Фарш,136.0,Мясо и птица,farsh,2
804,Супы,42.0,Готовая еда,supy,2
1730,"Чистящие, моющие средства",1070.0,Бытовая химия,chistyashchie-moyushchie-sredstva,2
1755,"Семена, все для выращивания",1731.0,Дача и сад,semena-vse-dlya-vyrashchivaniya,2
2632,Шоколад и батончики,1028.0,Сладости,shokolad-i-batonchiki,2
2681,Мужская одежда,2673.0,Одежда и аксессуары,muzhskaya-odezhda,2
2833,"Фольга, пакеты, бумага для запекания",1427.0,Кухня,folga-pakety-bumaga-dlya-zapekaniya,2
2853,Аудио и видео техника,1439.0,Бытовая техника,audio-i-video-tehnika,2
3007,"Спортивные игры, батуты",1419.0,Спорт и отдых,sportivnye-igry-batuty,2
17055,Десертные и крепленые вина,17036.0,Алкоголь,desertnye-i-kreplenye-vina,2
17288,"Торты, десерты и пирожные",165.0,Хлеб и выпечка,torty-deserty-i-pirozhnye,2
17429,Домашний текстиль,17400.0,"Дом, интерьер",domashnijj-tekstil,2
17986,"Сырки, десерты",17982.0,У кассы,syrki-deserty,2
18001,Праздничные свечи,17997.0,Праздник,prazdnichnye-svechi,2
18033,Канцелярские мелочи,18030.0,"Канцтовары, хобби, книги",kancelyarskie-melochi,2
19196,"Мясо, рыба, полуфабрикаты",18359.0,Только в Ленте,myaso-ryba-polufabrikaty,2
19342,Каши,19327.0,Детское питание,kashi,2
19501,Гигиена и уход,19433.0,Товары для детей,gigiena-i-uhod,2
19882,Сладости и выпечка,19876.0,PREMIUM CLUB,sladosti-i-vypechka,2
19971,Безалкогольные напитки,19967.0,Подарки НГ,bezalkogolnye-napitki,2
19982,"Сладости, хлеб, выпечка",19978.0,Каталог Супер Лента 21-27.11.,sladosti-hleb-vypechka,2
20001,"Бакалея, консервация, снеки",19997.0,Новогодний стол. 28.11.-11.12,bakaleya-konservaciya-sneki,2
20080,Бакалея,20076.0,Чёрный Хватабрь,bakaleya,2
20226,Товары для детей,20222.0,"Каталог выгодных предложений, 12 дек. 2024-07 янв. 2025",tovary-dlya-detejj,2
20517,Мясные деликатесы,18427.0,Товары до 99 рублей,myasnye-delikatesy,2
20576,Подарочные наборы,242.0,"Кофе, чай, какао",podarochnye-nabory,2
20647,Замороженные продукты,20638.0,Постно и полезно,zamorozhennye-produkty,2
20686,Кондитерские изделия,19305.0,Новинки,konditerskie-izdeliya,2
20704,Кондиционеры для белья со скидками до 40%,1893.0,Особенно выгодно,kondicionery-dlya-belya-so-skidkami-do-40,2
37,Сухие завтраки и хлопья,25.0,Бакалея,suhie-zavtraki-i-hlopya,2
269,Салаты и закуски,42.0,Готовая еда,salaty-i-zakuski,2
346,Грибы,94.0,Консервы и соусы,griby,2
669,Полуфабрикаты из птицы,136.0,Мясо и птица,polufabrikaty-iz-pticy,2
864,"Тесто, выпечка, блины",77.0,Заморозка,testo-vypechka-bliny,2
877,Соки,4.0,"Вода, сок, газировка",soki,2
1005,"Торты, десерты и пирожные",1028.0,Сладости,torty-deserty-i-pirozhnye,2
1085,"Освежители, ароматизаторы",1070.0,Бытовая химия,osvezhiteli-aromatizatory,2
1239,Варенье и мед,94.0,Консервы и соусы,varene-i-med,2
1440,Миксеры и блендеры,1439.0,Бытовая техника,miksery-i-blendery,2
1483,"Хранение, порядок, глажка",17400.0,"Дом, интерьер",hranenie-poryadok-glazhka,2
1760,Садовый декор и освещение,1731.0,Дача и сад,sadovyjj-dekor-i-osveshchenie,2
2975,Твердый,2.0,Сыры,tverdyjj,2
3010,Товары для фитнеса,1419.0,Спорт и отдых,tovary-dlya-fitnesa,2
