code,name,parent_id,parent_name,has_child,slug,level
MENU114,Giá Siêu Rẻ,,,False,gia-sieu-re--c114,1
MENU51,Ưu Đãi Hội Viên,,,False,uu-dai-hoi-vien--c51,1
MENU08,Sữa các loại,,,True,sua-cac-loai--c08,1
MENU0133,Sữa Tươi,MENU08,Sữa các loại,False,sua-tuoi--c0133,2
MENU0134,Sữa Hạt - Sữa Đậu,MENU08,Sữa các loại,False,sua-hat-sua-dau--c0134,2
MENU0135,Sữa Bột,MENU08,Sữa các loại,False,sua-bot--c0135,2
MENU0138,Bơ Sữa - Phô Mai,MENU08,Sữa các loại,False,bo-sua-pho-mai--c0138,2
MENU01161,Sữa đặc,MENU08,Sữa các loại,False,sua-dac--c01161,2
MENU01169,Sữa Chua - Váng Sữa,MENU08,Sữa các loại,False,sua-chua-vang-sua--c01169,2
MENU02,Rau - Củ - Trái Cây,,,True,rau-cu-trai-cay--c02,1
MENU01167,Rau Lá,MENU02,Rau - Củ - Trái Cây,False,rau-la--c01167,2
MENU01168,"Củ, Quả",MENU02,Rau - Củ - Trái Cây,False,cu-qua--c01168,2
MENU01173,Trái cây tươi,MENU02,Rau - Củ - Trái Cây,False,trai-cay-tuoi--c01173,2
MENU10,Hóa Phẩm - Tẩy rửa,,,True,hoa-pham-tay-rua--c10,1
MENU01140,Nước Giặt,MENU10,Hóa Phẩm - Tẩy rửa,False,nuoc-giat--c01140,2
MENU01144,Nước Xả,MENU10,Hóa Phẩm - Tẩy rửa,False,nuoc-xa--c01144,2
MENU01142,Nước Rửa Chén,MENU10,Hóa Phẩm - Tẩy rửa,False,nuoc-rua-chen--c01142,2
MENU01139,Bình Xịt Côn Trùng,MENU10,Hóa Phẩm - Tẩy rửa,False,binh-xit-con-trung--c01139,2
MENU01141,Nước Lau Sàn - Lau Kính,MENU10,Hóa Phẩm - Tẩy rửa,False,nuoc-lau-san-lau-kinh--c01141,2
MENU01143,Nước Tẩy Rửa,MENU10,Hóa Phẩm - Tẩy rửa,False,nuoc-tay-rua--c01143,2
MENU11,Chăm Sóc Cá Nhân,,,True,cham-soc-ca-nhan--c11,1
MENU0147,Chăm Sóc Răng Miệng,MENU11,Chăm Sóc Cá Nhân,False,cham-soc-rang-mieng--c0147,2
MENU0146,Chăm Sóc Da,MENU11,Chăm Sóc Cá Nhân,False,cham-soc-da--c0146,2
MENU0145,Chăm Sóc Tóc,MENU11,Chăm Sóc Cá Nhân,False,cham-soc-toc--c0145,2
MENU0148,Chăm Sóc Phụ Nữ,MENU11,Chăm Sóc Cá Nhân,False,cham-soc-phu-nu--c0148,2
MENU0149,Chăm Sóc Cá Nhân Khác,MENU11,Chăm Sóc Cá Nhân,False,cham-soc-ca-nhan-khac--c0149,2
MENU0150,Mỹ Phẩm,MENU11,Chăm Sóc Cá Nhân,False,my-pham--c0150,2
MENU0151,Khăn Giấy - Khăn Ướt,MENU11,Chăm Sóc Cá Nhân,False,khan-giay-khan-uot--c0151,2
MENU03,Thịt - Hải Sản Tươi,,,True,thit-hai-san-tuoi--c03,1
MENU0111,Thịt,MENU03,Thịt - Hải Sản Tươi,False,thit--c0111,2
MENU0113,Hải Sản,MENU03,Thịt - Hải Sản Tươi,False,hai-san--c0113,2
MENU07,Bánh Kẹo,,,True,banh-keo--c07,1
MENU0127,Bánh Xốp - Bánh Quy,MENU07,Bánh Kẹo,False,banh-xop-banh-quy--c0127,2
MENU0128,Kẹo - Chocolate,MENU07,Bánh Kẹo,False,keo-chocolate--c0128,2
MENU0129,Bánh Snack,MENU07,Bánh Kẹo,False,banh-snack--c0129,2
MENU0130,Hạt - Trái Cây Sấy Khô,MENU07,Bánh Kẹo,False,hat-trai-cay-say-kho--c0130,2
MENU31,Đồ uống có cồn,,,True,do-uong-co-con--c31,1
MENU01135,Bia,MENU31,Đồ uống có cồn,False,bia--c01135,2
MENU09,Đồ Uống - Giải Khát,,,True,do-uong-giai-khat--c09,1
MENU01162,Cà Phê,MENU09,Đồ Uống - Giải Khát,False,ca-phe--c01162,2
MENU01163,Nước Suối,MENU09,Đồ Uống - Giải Khát,False,nuoc-suoi--c01163,2
MENU01164,Nước Ngọt,MENU09,Đồ Uống - Giải Khát,False,nuoc-ngot--c01164,2
MENU0141,Trà - Các Loại Khác,MENU09,Đồ Uống - Giải Khát,False,tra-cac-loai-khac--c0141,2
MENU34,Mì - Thực Phẩm Ăn Liền,,,True,mi-thuc-pham-an-lien--c34,1
MENU01145,Mì,MENU34,Mì - Thực Phẩm Ăn Liền,False,mi--c01145,2
MENU01148,Miến - Hủ Tíu - Bánh Canh,MENU34,Mì - Thực Phẩm Ăn Liền,False,mien-hu-tiu-banh-canh--c01148,2
MENU01146,Cháo,MENU34,Mì - Thực Phẩm Ăn Liền,False,chao--c01146,2
MENU01147,Phở - Bún,MENU34,Mì - Thực Phẩm Ăn Liền,False,pho-bun--c01147,2
MENU06,Thực Phẩm Khô,,,True,thuc-pham-kho--c06,1
MENU0120,Gạo - Nông Sản Khô,MENU06,Thực Phẩm Khô,False,gao-nong-san-kho--c0120,2
MENU0122,Ngũ Cốc - Yến Mạch,MENU06,Thực Phẩm Khô,False,ngu-coc-yen-mach--c0122,2
MENU0123,Thực Phẩm Đóng Hộp,MENU06,Thực Phẩm Khô,False,thuc-pham-dong-hop--c0123,2
MENU0124,Rong Biển - Tảo Biển,MENU06,Thực Phẩm Khô,False,rong-bien-tao-bien--c0124,2
MENU0125,Bột Các Loại,MENU06,Thực Phẩm Khô,False,bot-cac-loai--c0125,2
MENU01166,Thực Phẩm Chay,MENU06,Thực Phẩm Khô,False,thuc-pham-chay--c01166,2
MENU04,Thực Phẩm Chế Biến,,,True,thuc-pham-che-bien--c04,1
MENU0115,Bánh mì,MENU04,Thực Phẩm Chế Biến,False,banh-mi--c0115,2
MENU0156,Xúc xích - Thịt Nguội,MENU04,Thực Phẩm Chế Biến,False,xuc-xich-thit-nguoi--c0156,2
MENU01156,Bánh bao,MENU04,Thực Phẩm Chế Biến,False,banh-bao--c01156,2
MENU01157,Kim chi,MENU04,Thực Phẩm Chế Biến,False,kim-chi--c01157,2
MENU0114,Thực Phẩm Chế Biến Khác,MENU04,Thực Phẩm Chế Biến,False,thuc-pham-che-bien-khac--c0114,2
MENU35,Gia vị,,,True,gia-vi--c35,1
MENU01149,Dầu Ăn,MENU35,Gia vị,False,dau-an--c01149,2
MENU01150,Nước Mắm - Nước Chấm,MENU35,Gia vị,False,nuoc-mam-nuoc-cham--c01150,2
MENU01151,Đường,MENU35,Gia vị,False,duong--c01151,2
MENU01152,Nước Tương,MENU35,Gia vị,False,nuoc-tuong--c01152,2
MENU01153,Hạt Nêm,MENU35,Gia vị,False,hat-nem--c01153,2
MENU01154,Tương Các Loại,MENU35,Gia vị,False,tuong-cac-loai--c01154,2
MENU01155,Gia Vị Khác,MENU35,Gia vị,False,gia-vi-khac--c01155,2
MENU05,Thực Phẩm Đông Lạnh,,,True,thuc-pham-dong-lanh--c05,1
MENU0157,Hải Sản Đông Lạnh,MENU05,Thực Phẩm Đông Lạnh,False,hai-san-dong-lanh--c0157,2
MENU01158,Thịt Đông Lạnh,MENU05,Thực Phẩm Đông Lạnh,False,thit-dong-lanh--c01158,2
MENU01159,Chả Giò,MENU05,Thực Phẩm Đông Lạnh,False,cha-gio--c01159,2
MENU01160,Cá - Bò Viên,MENU05,Thực Phẩm Đông Lạnh,False,ca-bo-vien--c01160,2
MENU0158,Thực Phẩm Đông Lạnh Khác,MENU05,Thực Phẩm Đông Lạnh,False,thuc-pham-dong-lanh-khac--c0158,2
MENU33,Trứng - Đậu Hũ,,,True,trung-dau-hu--c33,1
MENU01165,Trứng,MENU33,Trứng - Đậu Hũ,False,trung--c01165,2
MENU01138,Đậu hũ,MENU33,Trứng - Đậu Hũ,False,dau-hu--c01138,2
MENU12,Chăm Sóc Bé,,,True,cham-soc-be--c12,1
MENU0152,Sữa Bột - Sữa Dinh Dưỡng,MENU12,Chăm Sóc Bé,False,sua-bot-sua-dinh-duong--c0152,2
MENU0154,Tã - Bỉm,MENU12,Chăm Sóc Bé,False,ta-bim--c0154,2
MENU01137,Sữa Tắm - Gội Cho Bé,MENU12,Chăm Sóc Bé,False,sua-tam-goi-cho-be--c01137,2
MENU0155,Chăm Sóc Cá Nhân Cho Bé,MENU12,Chăm Sóc Bé,False,cham-soc-ca-nhan-cho-be--c0155,2
MENU25,Đồ Dùng Gia Đình,,,True,do-dung-gia-dinh--c25,1
MENU0197,Đồ Dùng Phòng Ngủ,MENU25,Đồ Dùng Gia Đình,False,do-dung-phong-ngu--c0197,2
MENU0198,Đồ dùng trong nhà,MENU25,Đồ Dùng Gia Đình,False,do-dung-trong-nha--c0198,2
MENU01101,Dụng cụ sữa chữa,MENU25,Đồ Dùng Gia Đình,False,dung-cu-sua-chua--c01101,2
MENU01133,Đồ dùng nhà bếp,MENU25,Đồ Dùng Gia Đình,False,do-dung-nha-bep--c01133,2
MENU01136,Thiết bị dùng điện trong nhà,MENU25,Đồ Dùng Gia Đình,False,thiet-bi-dung-dien-trong-nha--c01136,2
MENU01170,Vệ Sinh Nhà Cửa,MENU25,Đồ Dùng Gia Đình,False,ve-sinh-nha-cua--c01170,2
MENU26,Điện Gia Dụng,,,False,dien-gia-dung--c26,1
MENU27,Văn Phòng Phẩm - Đồ Chơi,,,False,van-phong-pham-do-choi--c27,1
