,name,price,uom,supermarket,product_type,weight,price_kg,number_of_units,price_unit,volume,price_lit
1,GREEN ACE Dầu đậu nành 2L,129000.0,CHA,Winmart,soybean_oil,,,,,2000.0,64500.0
4,Dầu đậu nành Meizan chai 2L,128900.0,CHA,Winmart,soybean_oil,,,,,2000.0,64450.0
6,Gạo Ngọc Nương ST 25 đặc sản 3Kg,123000.0,G1,Winmart,rice,3000.0,41000.0,,,,
9,Dầu đậu nành Meizan chai 1L,55800.0,CHA,Winmart,soybean_oil,,,,,1000.0,55800.0
10,Nước mắm Nam Ngư Đệ nhị 900ml,26500.0,CHA,Winmart,fish_sauce,,,,,900.0,29444.44444444444
11,Nước mắm Nam Ngư  chai 1.2L,65000.0,CHA,Winmart,fish_sauce,,,,,1200.0,54166.666666666664
28,Rau muống WinEco gói  500g,16500.0,G1,Winmart,water_spinach,500.0,33000.0,,,,
41,Cà chua đỏ  WinEco,32900.0,KG,Winmart,tomato,1000.0,32900.0,,,,
44,MEATDELI Thịt đùi heo (S),144900.0,KG,Winmart,pork_leg,1000.0,144900.0,,,,
48,MEATDELI Thịt Nạc đùi heo (S),151900.0,KG,Winmart,pork_leg,1000.0,151900.0,,,,
56,Dưa chuột baby WinEco gói 500g,16900.0,KH,Winmart,cucumber,500.0,33800.0,,,,
65,Gạo ST25 Giống Cây Trồng TW túi 3kg,107000.0,G1,Winmart,rice,3000.0,35666.666666666664,,,,
68,Cam Ai Cập,79900.0,KG,Winmart,orange,1000.0,79900.0,,,,
77,Thùng 48 hộp sữa tươi tiệt trùng Vinamilk không đường 180ml,396000.0,T,Winmart,milk,,,,,8640.0,45833.333333333336
78,Sữa tiệt trùng Cô gái Hà Lan không đường hộp 1lít,35900.0,HOP,Winmart,milk,,,,,1000.0,35900.0
79,Sữa tươi tiệt trùng nguyên kem Meadow Fresh hộp 1L,53500.0,HOP,Winmart,milk,,,,,1000.0,53500.0
80,Sữa tươi tiệt trùng Vinamilk không đường hộp 1 lít,37900.0,HOP,Winmart,milk,,,,,1000.0,37900.0
81,Sữa tươi tiệt trùng nguyên chất TH True Milk hộp 1 lít,40200.0,HOP,Winmart,milk,,,,,1000.0,40200.0
82,Sữa thanh trùng Dalat Milk không đường hộp 180ml,12500.0,HOP,Winmart,milk,,,,,180.0,69444.44444444444
83,Sữa thanh trùng Dalat Milk không đường 950ml,47600.0,HOP,Winmart,milk,,,,,950.0,50105.26315789474
90,Sữa thanh trùng nguyên chất TH Milk 950ml,45700.0,HOP,Winmart,milk,,,,,950.0,48105.26315789474
91,Sữa tiệt trùng Vinamilk không đường túi 220ml,7400.0,G1,Winmart,milk,,,,,220.0,33636.36363636363
96,Thùng 48 túi sữa tươi tiệt trùng Cô gái Hà Lan không đường 180ml,369600.0,T,Winmart,milk,,,,,8640.0,42777.77777777778
99,Thùng 48 hộp sữa tươi tiệt trùng Dutch Lady không đường 180ml,405600.0,T,Winmart,milk,,,,,8640.0,46944.444444444445
102,Sữa tươi tiệt trùng nguyên chất TH True Milk thùng 48 gói x 220ml,451200.0,T,Winmart,milk,,,,,10560.0,42727.27272727273
108,Sữa tiệt trùng Vinamilk Flex không đường hộp 1L,37400.0,HOP,Winmart,milk,,,,,1000.0,37400.0
122,Sữa tươi tiệt trùng ít béo Meadow Fresh hộp 1L,49800.0,HOP,Winmart,milk,,,,,1000.0,49800.0
124,Sữa tươi tiệt trùng Meadow Fresh giàu canxi hộp 1L,58800.0,HOP,Winmart,milk,,,,,1000.0,58800.0
125,Thùng 48 hộp sữa tươi tiệt trùng nguyên chất TH True Milk 180ml,462000.0,T,Winmart,milk,,,,,8640.0,53472.22222222222
136,Lốc 4 hộp sữa tươi tiệt trùng nguyên chất THtrue Milk 110ml,25600.0,G4,Winmart,milk,,,,,440.0,58181.81818181818
140,Sữa tiệt trùng tự nhiên Dalatmilk 220ml,9400.0,G1,Winmart,milk,,,,,220.0,42727.27272727273
142,Lốc 4 hộp sữa tươi tiệt trùng không đường Vinamilk Green Farm 180ml,40500.0,G4,Winmart,milk,,,,,720.0,56250.0
146,Lốc 4 hộp sữa tiệt trùng THTRUE MILK topkid 180ml,57400.0,G4,Winmart,milk,,,,,720.0,79722.22222222223
154,Sữa tươi thanh trùng Meiji hộp 946ml,66500.0,HOP,Winmart,milk,,,,,946.0,70295.98308668076
155,Sữa tươi thanh trùng Meiji 4.3% hộp 946ml,71000.0,HOP,Winmart,milk,,,,,946.0,75052.85412262157
270,Sữa đặc có đường Ông Thọ Vinamilk lon 380g,28500.0,HOP,Winmart,condensed_milk,380.0,75000.0,,,,
272,Sữa đặc có đường Ông Thọ đỏ lon 380g,26700.0,HOP,Winmart,condensed_milk,380.0,70263.15789473684,,,,
