,name,price,uom,product_type,supermarket,weight,price_kg,number_of_units,price_unit,volume,price_lit
0,Багет традиционный 230г,45.99,230 г,bread,Pyaterochka,230.0,199.95652173913044,,,,
1,Багет Фитнес 200г,49.99,200 г,bread,Pyaterochka,200.0,249.95000000000002,,,,
2,Багет мини 120г,25.99,120 г,bread,Pyaterochka,120.0,216.58333333333331,,,,
3,Хлеб Маг с семечками 390г,75.99,390 г,bread,Pyaterochka,390.0,194.84615384615384,,,,
4,Огурцы среднеплодные,175.99,Цена за 1 кг,cucumber,Pyaterochka,1000.0,175.99,,,,
5,Томаты,203.99,Цена за 1 кг,tomato,Pyaterochka,1000.0,203.99,,,,
6,Капуста белокочанная,39.99,Цена за 1 кг,cabbage,Pyaterochka,1000.0,39.99,,,,
7,Лук репчатый,59.99,Цена за 1 кг,onion,Pyaterochka,1000.0,59.99,,,,
8,Огурцы короткоплодные 450г,259.99,450 г,cucumber,Pyaterochka,450.0,577.7555555555556,,,,
9,Огурец Global Village Агромос длинный 1шт.,118.99,1 шт,cucumber,Pyaterochka,220.0,540.8636363636364,,,,
10,Томаты Фламенко сливовидные красные 450г,239.99,450 г,tomato,Pyaterochka,450.0,533.3111111111111,,,,
11,Лук-репка Выгодно в сетке,48.49,Цена за 1 кг,onion,Pyaterochka,1000.0,48.49,,,,
12,Огурец Global Village среднеплодный гладкий 600г,267.99,600 г,cucumber,Pyaterochka,600.0,446.65,,,,
13,Томаты Фламенко сливовидные,499.99,Цена за 1 кг,tomato,Pyaterochka,1000.0,499.99,,,,
14,Морковь мытая упаковка 1кг,102.99,1 кг,carrot,Pyaterochka,1000.0,102.99,,,,
15,Томаты Медовые черри красные круглые 200г,299.99,200 г,tomato,Pyaterochka,200.0,1499.95,,,,
16,Огурцы Global Village корнишоны премиум 300г,289.99,300 г,cucumber,Pyaterochka,300.0,966.6333333333333,,,,
17,Томаты Черри на ветке 250г,237.99,250 г,tomato,Pyaterochka,250.0,951.96,,,,
18,Томаты Рост Медовые Черри оранжевые круглые 200г,299.99,200 г,tomato,Pyaterochka,200.0,1499.95,,,,
19,Томаты коктейльные 350г,226.99,350 г,tomato,Pyaterochka,350.0,648.5428571428572,,,,
20,Баклажан,298.99,Цена за 1 кг,eggplant,Pyaterochka,1000.0,298.99,,,,
21,Огурцы короткоплодные,389.99,Цена за 1 кг,cucumber,Pyaterochka,1000.0,389.99,,,,
22,Огурцы Люкс Луховицкие короткоплодные 450г,278.99,450 г,cucumber,Pyaterochka,450.0,619.9777777777779,,,,
23,Огурцы Луховицкие длинные 1шт.,123.99,250 г,cucumber,Pyaterochka,250.0,495.96,,,,
24,Томаты Рост коричневые 350г,212.99,350 г,tomato,Pyaterochka,350.0,608.5428571428572,,,,
25,Огурцы среднеплодные колючие 600г,267.99,600 г,cucumber,Pyaterochka,600.0,446.65,,,,
26,Томаты Сладкая Ягода Черри красные в ассортименте 200г,233.99,200 г,tomato,Pyaterochka,200.0,1169.95,,,,
27,Морковь мини 250г,87.99,250 г,carrot,Pyaterochka,250.0,351.96,,,,
28,Морковь целая очищенная в вакууме 500г,102.99,500 г,carrot,Pyaterochka,500.0,205.98,,,,
29,Бананы Global Village,169.99,Цена за 1 кг,banana,Pyaterochka,1000.0,169.99,,,,
30,Апельсины,149.99,Цена за 1 кг,orange,Pyaterochka,1000.0,149.99,,,,
31,Бананы Красная Цена фасованные,169.99,Цена за 1 кг,banana,Pyaterochka,1000.0,169.99,,,,
32,Апельсины фасованные,149.99,Цена за 1 кг,orange,Pyaterochka,1000.0,149.99,,,,
33,Апельсины Global Village отборные,233.99,Цена за 1 кг,orange,Pyaterochka,1000.0,233.99,,,,
34,Манго желтое,514.99,Цена за 1 кг,mango,Pyaterochka,1000.0,514.99,,,,
35,Молоко Домик в деревне пастеризованное 2.5% БЗМЖ 930мл,89.99,930 мл,milk,Pyaterochka,,,,,930.0,96.76344086021504
36,Молоко Станция Молочная пастеризованное 2.5% БЗМЖ 900мл,76.99,900 мл,milk,Pyaterochka,,,,,900.0,85.54444444444444
37,Молоко Простоквашино отборное пастеризованное 3.4-4.5% БЗМЖ 930мл,102.99,930 мл,milk,Pyaterochka,,,,,930.0,110.74193548387096
38,Молоко Село Зеленое пастеризованное 3.2% БЗМЖ 1.947л,199.99,1.947 л,milk,Pyaterochka,,,,,1947.0,102.71700051361069
39,Молоко Му-у ультрапастеризованное 3.2% БЗМЖ 925мл,104.99,925 мл,milk,Pyaterochka,,,,,925.0,113.50270270270269
40,Молоко Красная Цена ультрапастеризованное 3.2% БЗМЖ 970мл,84.99,970 мл,milk,Pyaterochka,,,,,970.0,87.61855670103093
41,Молоко сгущенное Рогачевъ с сахаром 8.5% БЗМЖ 380г,179.99,380 г,condensed_milk,Pyaterochka,380.0,473.65789473684214,,,,
42,Молоко Красная Цена ультрапастеризованное 2.5% БЗМЖ 0.97л,79.99,970 мл,milk,Pyaterochka,,,,,970.0,82.46391752577318
