country,supermarket,product_category,product_name,normalized_price,is_outlier
Russia,Pyaterochka,egg,Яйцо куриное столовое С1 10шт. (10 шт),0.08843694399999999,True
Russia,Pyaterochka,egg,Яйцо куриное отборное 10шт. (10 шт),0.11054894400000001,False
Russia,Pyaterochka,egg,Яйцо куриное С2 10шт. (10 шт),0.07295854399999999,True
Russia,Pyaterochka,egg,Яйцо куриное Окское столовое С1 10шт. (10 шт),0.132660944,False
Russia,Pyaterochka,egg,Яйцо куриное Окское столовое СО 10шт. (10 шт),0.154772944,False
Russia,Pyaterochka,egg,Яйцо куриное Село Зеленое Деревенское С1 10шт. (10 шт),0.154772944,False
Russia,Pyaterochka,egg,Яйцо куриное Роскар Экстра СО 10шт. (10 шт),0.154772944,False
Russia,Pyaterochka,egg,Яйцо куриное Лето С1 20шт. (20 шт),0.129902472,False
Russia,Pyaterochka,egg,Яйцо куриное Лето пищевое С1 10шт. (10 шт),0.138188944,False
Russia,Pyaterochka,egg,Яйцо куриное Окское С1 белое 30 шт. (30 шт),0.12898298133333333,False
Russia,Pyaterochka,egg,Яйцо куриное Село Зеленое Деревенское С0 10шт. (10 шт),0.16715566399999998,False
Russia,Pyaterochka,egg,Яйцо куриное Волжанин С1 10шт. (10 шт),0.138188944,False
Russia,Lenta,egg,"Яйцо куриное СМЕТАНИНО От молодой курицы С2, 10шт (10шт)",0.15720526399999998,False
Russia,Lenta,egg,"Яйцо куриное ЛЕНТА С1, 30шт (30шт)",0.1315627146666667,False
Russia,Lenta,egg,"Яйцо куриное ЛЕНТА С1, 10шт (10шт)",0.12801742400000002,False
Russia,Lenta,egg,"Яйцо куриное РОСКАР Экстра СО столовое, 10шт (10шт)",0.162954384,False
Russia,Lenta,egg,"Яйцо куриное РОСКАР Экстра СО столовое, 15шт (15шт)",0.158830496,False
Russia,Lenta,egg,"Яйцо куриное 365 ДНЕЙ С1, 30шт (30шт)",0.10436495466666666,False
Russia,Lenta,egg,"Яйцо куриное 365 ДНЕЙ СО, 30шт (30шт)",0.143540048,False
Russia,Lenta,egg,"Яйцо куриное 365 ДНЕЙ С1, 10шт (10шт)",0.10479982399999999,False
Russia,Lenta,egg,"Яйцо куриное 365 ДНЕЙ С2, 30шт (30шт)",0.08457471466666666,True
Russia,Lenta,egg,"Яйцо куриное СМЕТАНИНО С1, 30шт (30шт)",0.1513161013333333,False
Russia,Lenta,egg,"Яйцо куриное СМЕТАНИНО СО, 20шт (20шт)",0.19148439199999998,False
Russia,Lenta,egg,"Яйцо куриное СМЕТАНИНО С1, 10шт (10шт)",0.16649230399999998,False
Russia,Lenta,egg,"Яйцо куриное СМЕТАНИНО СО, 10шт (10шт)",0.15134558399999998,False
Russia,Lenta,egg,"Яйцо куриное ВОЛЖАНИН СО, 10шт (10шт)",0.14979774399999998,False
Russia,Lenta,egg,"Яйцо куриное 365 ДНЕЙ С2, 10шт (10шт)",0.085009584,True
Russia,Lenta,egg,"Яйцо куриное ВОЛЖАНИН Волжское утро СО, 20шт (20шт)",0.157155512,False
Russia,Lenta,egg,"Яйцо куриное ВОЛЖАНИН С1, 30шт (30шт)",0.13119418133333333,False
Russia,Lenta,egg,"Яйцо куриное ВАРАКСИНО деревенское СО, 10шт (10шт)",0.217239344,False
Russia,Lenta,egg,"Яйцо куриное СИНЯВИНСКОЕ С1 столовое, 20шт (20шт)",0.125148392,False
Russia,Lenta,egg,"Яйцо куриное РОСКАР Счастливая курица С1, 20шт (20шт)",0.16295991199999998,False
Russia,Lenta,egg,"Яйцо куриное ВОЛЖАНИН СВ, 10шт (10шт)",0.197338544,False
Russia,Lenta,egg,"Яйцо куриное ПФ ФЕДОРОВСКАЯ Свободный Выгул СО столовое, 9шт (9шт)",0.25796104888888893,True
Russia,Lenta,egg,"Яйцо куриное СМЕТАНИНО С1 столовое мытое, 20шт (20шт)",0.16876431200000003,False
Russia,Lenta,egg,"Яйцо куриное ПРАКСИС С1, 20шт (20шт)",0.159200872,False
Russia,Lenta,egg,"Яйцо куриное ВОЛЖАНИН СО, 6шт (6шт)",0.16858557333333332,False
Russia,Lenta,egg,"Яйцо куриное ВОЛЖАНИН С1, 10шт (10шт)",0.14979774399999998,False
Russia,Lenta,egg,"Яйцо куриное ВОЛЖАНИН С1, 20шт (20шт)",0.14510447199999998,False
Russia,Lenta,egg,"Яйцо куриное СИНЯВИНСКОЕ деревенское СО, 10шт (10шт)",0.168592944,False
Russia,Lenta,egg,"Яйцо куриное 365 ДНЕЙ СО, 10шт (10шт)",0.14316414400000002,False
Russia,Lenta,egg,"Яйцо куриное ЛЕНТА FRESH Селен, йод С1, 10шт (10шт)",0.137636144,False
Russia,Lenta,egg,"Яйцо куриное ЛЕНТА FRESH Яркий желток СО, 20шт (20шт)",0.161688472,False
Russia,Lenta,egg,"Яйцо куриное ЛЕНТА FRESH Яркий желток СО, 10шт (10шт)",0.15134558399999998,False
Russia,Lenta,egg,"Яйцо куриное ЛЕНТА FRESH Селен, йод С1, 20шт (20шт)",0.139687032,False
Russia,Lenta,egg,"Яйцо куриное NN С1, 10шт (10шт)",0.12989694400000001,False
Russia,Lenta,egg,"Яйцо куриное NN С1, 20шт (20шт)",0.135430472,False
Russia,Lenta,egg,"Яйцо куриное ВАУ МЯУ! Омега-3 СО, 6шт (6шт)",0.15015890666666662,False
Russia,Lenta,egg,"Яйцо куриное ЛЕНТА FRESH XXL СВ, 10шт (10шт)",0.16195934399999998,False
Russia,Lenta,egg,"Яйцо куриное ЛЕНТА FRESH С2, 10шт (10шт)",0.108337744,False
Russia,Lenta,egg,"Яйцо куриное ПРАКСИС С1, 10шт (10шт)",0.155989104,False
Russia,Lenta,egg,"Яйцо куриное СЕЛО ЗЕЛЁНОЕ Деревенское СО, 15шт (15шт)",0.17983689600000002,False
Russia,Lenta,egg,"Яйцо куриное ЛЕНТА СО, 15шт (15шт)",0.1518283626666667,False
