country,supermarket,product_category,product_name,normalized_price,is_outlier
Russia,Pyaterochka,onion,Лук репчатый (Цена за 1 кг),0.66324944,False
Russia,Pyaterochka,onion,Лук-репка Выгодно в сетке (Цена за 1 кг),0.53610544,False
Russia,Lenta,onion,"Лук репчатый, фасованный, весовой ()",0.8147534933333332,False
Russia,Lenta,onion,"Лук репчатый, весовой ()",0.6401424,False
Russia,Lenta,onion,"Лук репчатый, 500г (500г)",2.09599648,False
Russia,Lenta,onion,"Лук репчатый отборный, 1кг (1000г)",1.39736784,False
Vietnam,Winmart,onion,Hành tây (KG),1.0548566,False
Vietnam,Co.op,onion,Hành tây baby 300g – F (kg),2.4835533333333335,True
Vietnam,Co.op,onion,Củ hành tây Coop Select kg – TNX (túi),0.9764286,False
Vietnam,Co.op,onion,Hành tây Đà Lạt kg (kg),0.7019306000000001,False
Russia,Pyaterochka,bread,Багет традиционный 230г (230 г),2.210719304347826,False
Russia,Pyaterochka,bread,Багет Фитнес 200г (200 г),2.7634472,False
Russia,Pyaterochka,bread,Багет мини 120г (120 г),2.394545333333333,False
Russia,Pyaterochka,bread,Хлеб Маг с семечками 390г (390 г),2.1542190769230767,False
Russia,Pyaterochka,bread,Батон Селяночка Нарезной нарезка 400г (400 г),1.2988035999999998,False
Russia,Pyaterochka,bread,Батон Коломенское Нарезной нарезка 400г (400 г),2.0174436,False
Russia,Pyaterochka,bread,Батон Хлебный Дом Звездный нарезка 350г (350 г),1.8949984,False
Russia,Pyaterochka,bread,Хлеб сандвичный Harry's American Sandwich пшеничный нарезка 470г (470 г),2.9166668936170206,False
Russia,Pyaterochka,bread,Хлеб Коломенский Даниловский ржано-пшеничный нарезка 350г (350 г),2.1477069714285713,False
Russia,Pyaterochka,bread,Батон Черемушки нарезка 400г (400 г),1.8516036,False
Russia,Pyaterochka,bread,Хлеб Черемушки Столичный нарезка 330г (330 г),1.674816484848485,False
Russia,Pyaterochka,bread,Батон Черемушки Нарезной нарезка 200г (200 г),1.9342472000000002,False
Russia,Pyaterochka,bread,Хлеб Хлебный Дом тостовый пшеничный 350г (350 г),2.242472685714286,False
Russia,Pyaterochka,bread,Хлеб Коломенское Дарницкий формовой нарезка 350г (350 г),1.6580841142857146,False
