country,supermarket,product_category,product_name,normalized_price,is_outlier
Vietnam,Winmart,rice,Gạo Ngọc Nương ST 25 đặc sản 3Kg (G1),1.607774,False
Vietnam,Winmart,rice,Gạo ST25 Giống Cây Trồng TW túi 3kg (G1),1.3986326666666666,False
Vietnam,Winmart,rice,Gạo Ngọc Nương Lức đỏ túi 1kg (G1),1.999914,False
Vietnam,Winmart,rice,Gạo ST25  Ngọc Nương túi 5Kg (G1),1.4822892,False
Vietnam,Winmart,rice,Gạo Lúa Tôm ST25 Ngọc Nương túi 5Kg (G1),1.5607172,False
Vietnam,Winmart,rice,Gạo Japonica Neptune bịch 5kg (G1),1.0791692800000001,False
Vietnam,Winmart,rice,Gạo Ngọc Nương ST25 3 Kg (G1),1.5032033333333334,False
Vietnam,Co.op,rice,Gạo Neptune ST25 Gold 35SGC – 7kg (bịch),1.579764,False
Vietnam,Co.op,rice,Gạo thơm thượng hạng Neptune nhãn vàng 5kg (bịch),1.55993292,False
Vietnam,Co.op,rice,Gạo thơm mùa vàng ST 25 Coop Finest 5 kg (túi),1.4038612000000001,False
Vietnam,Co.op,rice,Gạo tấm thơm Hom mali Na Siam 2kg (bịch),1.1470095,False
Vietnam,Co.op,rice,Gạo sinh thái Cà Mau ST25 VG 5kg (bịch),2.0116782,False
Vietnam,Co.op,rice,Gạo ST25 lúa tôm sinh thái Coop Finest 5kg (bịch),1.8744292,False
Vietnam,Co.op,rice,Gạo lài sữa Đồng Việt 5kg (bịch),0.8744722,False
Vietnam,Co.op,rice,Gạo Jasmine Coop Select 5kg – KG (bịch),1.0666208,False
Vietnam,Co.op,rice,Gạo thơm ST 25 thượng hạng Đồng Việt 5kg (bịch),1.5254246,False
Vietnam,Co.op,rice,Gạo thơm thượng hạng Nàng Sen Phú Quý 4kg – CX – F (bịch),1.6469880000000001,False
Vietnam,Co.op,rice,Gạo thơm Cát tường ST25 lúa tôm 5kg (túi),1.48856344,False
Vietnam,Co.op,rice,Gạo ST25 hữu cơ Kim Thiên Lộc 5kg (túi),1.607774,False
Vietnam,Co.op,rice,Gạo giống Nhật Coop Select 5 kg – King Green (bịch),1.2509266,False
Vietnam,Co.op,rice,Gạo Nàng Hoa Coop Select 5 kg – King Green (bịch),1.078385,False
Vietnam,Co.op,rice,Gạo tấm thơm 1kg (bịch),1.019564,False
Vietnam,Co.op,rice,Gạo ST24 Ocop Kim Thiên Lộc 5kg (túi),1.3881756,False
Vietnam,Co.op,rice,Gạo Jasmine Coop Select 7kg (bịch),1.069982,False
Vietnam,Co.op,rice,Gạo Nàng Sen Tài Lộc túi 4 kg – F (bịch),1.6469880000000001,False
Vietnam,Co.op,rice,Gạo thơm ST25 lúa tôm Coop Finest 5kg (túi),1.803844,False
Vietnam,Co.op,rice,Gạo thơm ST25 lúa tôm Coop Finest 3 kg (bịch),1.7646300000000001,False
Vietnam,Co.op,rice,Gạo ngon Cỏ May túi 5kg (bịch),0.88780496,False
Vietnam,Co.op,rice,Gạo thơm Neptune ST24 túi 5kg (gói),1.56777572,False
Vietnam,Co.op,rice,Gạo Nàng Hương Ocop Kim Thiên Lộc 5kg (bịch),1.3842542,False
