country,supermarket,product_category,product_name,normalized_price,is_outlier
Russia,Pyaterochka,tomato,Томаты (Цена за 1 кг),2.25531344,False
Russia,Pyaterochka,tomato,Томаты Фламенко сливовидные красные 450г (450 г),5.8962876444444445,False
Russia,Pyaterochka,tomato,Томаты Фламенко сливовидные (Цена за 1 кг),5.52788944,False
Russia,Pyaterochka,tomato,Томаты Медовые черри красные круглые 200г (200 г),16.583447200000002,False
Russia,Pyaterochka,tomato,Томаты Черри на ветке 250г (250 г),10.52486976,False
Russia,Pyaterochka,tomato,Томаты Рост Медовые Черри оранжевые круглые 200г (200 г),16.583447200000002,False
Russia,Pyaterochka,tomato,Томаты коктейльные 350г (350 г),7.170289828571429,False
Russia,Pyaterochka,tomato,Томаты Рост коричневые 350г (350 г),6.728049828571429,False
Russia,Pyaterochka,tomato,Томаты Сладкая Ягода Черри красные в ассортименте 200г (200 г),12.9349672,False
Russia,Lenta,tomato,"Томаты сливовидные, весовые ()",4.48055456,False
Russia,Lenta,tomato,"Томаты Бакинские, весовые ()",6.401424,False
Russia,Lenta,tomato,"Томаты розовые, Азербайджан, весовые ()",4.306312,False
Russia,Lenta,tomato,"Томаты Коричневые, весовые ()",5.9359664,False
Russia,Lenta,tomato,"Томаты черри микс, 250г (250г)",13.965496960000001,False
Russia,Lenta,tomato,"Томаты черри ЛЕНТА FRESH на ветке, 250г (250г)",13.036792960000001,False
Russia,Lenta,tomato,"Томаты розовые ЛЕНТА FRESH Фермерские, весовые ()",5.1211392,False
Russia,Lenta,tomato,"Томаты черри красные ФЛАМЕНКО на ветке, весовые ()",9.659627200000001,False
Russia,Lenta,tomato,"Томаты сливовидные ФЛАМЕНКО, 450г (450г)",6.4662858666666665,False
Russia,Lenta,tomato,"Томаты черри коричневые, 200г (200г)",14.5491432,False
Russia,Lenta,tomato,"Томаты черри, 400г (400г)",13.528950800000002,False
Russia,Lenta,tomato,"Томаты коктейльные, 350г (350г)",8.645476114285714,False
Russia,Lenta,tomato,"Томаты черри, на ветке, 400г (400г)",12.802571599999998,False
Russia,Lenta,tomato,"Томаты черри Сладкая ягода, 200г (200г)",17.805688,False
Russia,Lenta,tomato,"Томаты черри сливовидные, 200г (200г)",12.2218552,False
Russia,Lenta,tomato,"Томаты черри Сладкая ягода оранжевые, 200г (200г)",16.0030072,False
Russia,Lenta,tomato,"Томаты черри красные тепличные, 200г (200г)",12.8022952,False
Russia,Lenta,tomato,"Томаты ФЛАМЕНКО сливовидные, весовые ()",5.5865968,False
Russia,Lenta,tomato,"Томаты черри ФЛАМЕНКО красные, 250г (250г)",12.10366656,False
Russia,Lenta,tomato,"Томаты черри ВАУ круглые красные, 200г (200г)",14.5491432,False
Russia,Lenta,tomato,"Томаты ЛЕНТА FRESH коктейльные, на ветке, 350г (350г)",9.643674971428572,False
Russia,Lenta,tomato,"Томаты черри ВАУ круглые красные, на ветке, 200г (200г)",14.8421272,False
