country,supermarket,product_category,product_name,normalized_price,is_outlier
Vietnam,Winmart,yogurt,Lốc 4 hộp sữa chua ăn Meiji nguyên chất 90g (G4),3.9540783333333325,False
Vietnam,Winmart,yogurt,Lốc 4 hộp sữa chua ăn Meiji dâu tây 90g (G4),4.2808616666666675,False
Vietnam,Winmart,yogurt,Lốc 4 hộp sữa chua ăn Meiji thạch dừa 90g (G4),4.2808616666666675,False
Vietnam,Winmart,yogurt,Sữa chua Hy Lạp  Famers UnionVị tự nhiên hộp 1kg (HOP),8.5251236,False
Vietnam,Winmart,yogurt,Sữa chua Hoff vị nguyên bản vỉ 4 hộp 55g (G4),8.145817272727273,False
Vietnam,Winmart,yogurt,Sữa chua hoa quả Hoff vị táo vỉ 4 hộp 55g (G4),8.145817272727273,False
Vietnam,Winmart,yogurt,Sữa chua hoa quả Hoff vị chuối vỉ 4 hộp 55g (G4),8.145817272727273,False
Vietnam,Winmart,yogurt,Sữa chua hoa quả Hoff vị dâu tây vỉ 4 hộp 55g (G4),8.145817272727273,False
Vietnam,Winmart,yogurt,Sữa Chua Ăn TH true YOGURT Ít Đường (HOP),2.980264,False
Vietnam,Winmart,yogurt,Sữa chua ăn LoveYogurt Trân Châu Đường Đen hộp 100g (HOP),3.764544,False
Vietnam,Winmart,yogurt,Sữa chua ăn Vinamilk Love Yogurt Green Farm ít đường hộp 100g (HOP),2.94105,False
Vietnam,Winmart,yogurt,Sữa chua ăn TH Milk topkid chuối lúa mạch 60g (G1),4.182826666666667,False
Vietnam,Winmart,yogurt,Sữa chua ăn tự nhiên Farmers Union Greek Style 500g (HOP),10.823064,False
Vietnam,Winmart,yogurt,Sữa chua ăn vị mật ong Farmers Union Greek Style Lốc 2 hộp x 140g (G2),10.72783,False
Vietnam,Winmart,yogurt,Sữa chua nếp cẩm Saigon milk hộp 120g (HOP),4.2481833333333325,False
Vietnam,Co.op,yogurt,Sữa chua trái cây Hoff chuối organic lốc 6 x 55g (lốc),13.142631515151514,False
Vietnam,Co.op,yogurt,Sữa chua ăn TH Topkid vani 48 x 60g (thùng),4.003095833333333,False
Vietnam,Co.op,yogurt,Sữa chua hoa quả Hoff táo 4 x 55g (lốc),8.145817272727273,False
Vietnam,Co.op,yogurt,Sữa chua hoa quả Hoff nguyên bản 4 x 55g (lốc),8.145817272727273,False
Vietnam,Co.op,yogurt,Sữa chua ăn Vinamilk có đường lốc 4 hủ x 100g (lốc),2.5489100000000002,False
Vietnam,Co.op,yogurt,Sữa chua ăn Vinamilk ít đường lốc 4 x 100g (lốc),2.5489100000000002,False
Vietnam,Co.op,yogurt,Sữa chua TH Yogurt ít đường 48x100g (thùng),2.862622,False
Vietnam,Co.op,yogurt,Sữa chua tươi nha đam Dalat Milk 100g – CX – F (hộp),4.50961,False
Vietnam,Co.op,yogurt,Sữa chua dâu tây Dalat Milk 100g – CX – F (hộp),4.50961,False
Vietnam,Co.op,yogurt,Sữa chua tươi vị đào Dalat Milk 100g – CX – F (hộp),4.50961,False
Vietnam,Co.op,yogurt,Sữa chua ăn Vinamilk lựu đỏ ít đường 24x100g (thùng),3.251494166666667,False
Vietnam,Co.op,yogurt,Sữa chua ăn Vinamilk lựu đỏ ít đường 4x100g (lốc),3.313583,False
Vietnam,Co.op,yogurt,Sữa chua ăn Vinamilk nha đam ít đường collagen 24x100g (thùng),3.251494166666667,False
Vietnam,Co.op,yogurt,Sữa chua ăn Vinamilk nha đam ít đường collagen 4x100g (lốc),3.313583,False
Vietnam,Co.op,yogurt,Sữa chua Vinamilk nếp cẩm thùng 24x100g (thùng),3.2351550000000002,False
Vietnam,Co.op,yogurt,Sữa chua Vinamilk Green Farm ít đường 24x100g (thùng),2.6796233333333332,False
Vietnam,Co.op,yogurt,Sữa chua Vinamilk Green Farm có đường 24x100g (thùng),2.6796233333333332,False
Vietnam,Co.op,yogurt,Sữa chua hoa quả Hoff chuối 4 x 55g (lốc),8.145817272727273,False
Vietnam,Co.op,yogurt,Sữa chua hoa quả Hoff dâu 4 x 55g (lốc),8.145817272727273,False
Vietnam,Co.op,yogurt,Sữa chua ăn TH Topkid chuối lúa mạch 4 x 60g (lốc),4.003095833333333,False
Vietnam,Co.op,yogurt,Sữa chua ăn TH Topkid vani 4 x 60g (lốc),4.003095833333333,False
Vietnam,Co.op,yogurt,Sữa chua TH Yogurt ít đường 4x100g (lốc),2.862622,False
Vietnam,Co.op,yogurt,Sữa chua Vinamilk trái cây thùng 48x100g (thùng),3.06359375,False
Vietnam,Co.op,yogurt,Sữa chua Vinamilk dâu thùng 48x100g (thùng),3.06359375,False
Vietnam,Co.op,yogurt,Sữa chua Vinamilk có đường thùng 48x100g (thùng),2.532570833333333,False
Vietnam,Co.op,yogurt,Sữa chua Vinamilk Green Farm có đường 4x100g (lốc),2.74498,False
Vietnam,Co.op,yogurt,Sữa chua Vinamilk Love Yogurt nếp cẩm thùng 48x100g (thùng),3.145289583333333,False
Vietnam,Co.op,yogurt,Sữa chua Nutimilk có đường 48x100g (thùng),2.4181966666666663,False
Vietnam,Co.op,yogurt,Sữa chua Nutimilk nha đam 48x100g (thùng),2.9002020833333333,False
Vietnam,Co.op,yogurt,Sữa chua Đà Lạt Milk tự nhiên 500g (hộp),3.7174872,False
Vietnam,Co.op,yogurt,Sữa chua Đà Lạt Milk có đường 500g (hộp),3.7174872,False
Vietnam,Co.op,yogurt,Sữa chua ăn TH True nha Đam 48x100g (thùng),3.2351550000000002,False
Vietnam,Co.op,yogurt,Sữa chua ăn TH Sầu Riêng 4x100g (lốc),3.2351550000000002,False
Vietnam,Co.op,yogurt,Sữa chua ăn TH Sầu Riêng 48x100g (thùng),3.2351550000000002,False
Vietnam,Co.op,yogurt,Sữa chua Vinamilk Green Farm ít đường lốc 4x100g (lốc),2.74498,False
Vietnam,Co.op,yogurt,Sữa chua phô mai Sài Gòn Milk 100g (hộp),4.90175,False
Vietnam,Co.op,yogurt,Sữa chua ăn TH Truemilk có đường 4 x 100g (lốc),2.862622,False
Vietnam,Co.op,yogurt,Sữa chua Vinamilk trân châu đường đen lốc 4 hủ x 100g (lốc),3.5782775,False
Vietnam,Co.op,yogurt,Sữa chua ăn TH true milk trái cây lốc 4 hủ x100g (lốc),3.2351550000000002,False
Vietnam,Co.op,yogurt,Sữa chua ăn TH true milk việt quất lốc 4x100g (lốc),3.2351550000000002,False
Vietnam,Co.op,yogurt,Sữa chua ăn TH True milk vị tự nhiên lốc 4 hủ x100g (lốc),2.862622,False
Vietnam,Co.op,yogurt,Sữa chua ăn TH True nha đam 4x100g (lốc),3.2351550000000002,False
Vietnam,Co.op,yogurt,Sữa chua ăn Nutimilk nha đam lốc 4 x 100g (lốc),2.921443,False
Vietnam,Co.op,yogurt,Sữa chua Nutimilk có đường lốc 4 x 100g (lốc),2.431268,False
Vietnam,Co.op,yogurt,Sữa chua Susu IQ táo chuối lốc 4x80g (lốc),3.55376875,False
Vietnam,Co.op,yogurt,Sữa chua ăn Vinamilk Susu IQ dâu chuối lốc 4x80g (lốc),3.55376875,False
Vietnam,Co.op,yogurt,Sữa chua ăn Vinamilk Susu IQ có đường lốc 4x80g (lốc),3.55376875,False
Vietnam,Co.op,yogurt,Sữa chua ăn Vinamilk nếp cẩm lốc 4x100g (lốc),3.2841725,False
