country,supermarket,product_category,product_name,supermarket_price,supermarket_price_usd,quantity,unit,normalized_price
Russia,Pyaterochka,bread,Багет традиционный 230г (230 г),45.99,0.50846544,0.23,kg,2.210719304347826
Russia,Pyaterochka,bread,Багет Фитнес 200г (200 г),49.99,0.55268944,0.2,kg,2.7634472
Russia,Pyaterochka,bread,Багет мини 120г (120 г),25.99,0.28734543999999995,0.12,kg,2.394545333333333
Russia,Pyaterochka,bread,Хлеб Маг с семечками 390г (390 г),75.99,0.8401454399999999,0.39,kg,2.1542190769230767
Russia,Pyaterochka,cucumber,Огурцы среднеплодные (Цена за 1 кг),175.99,1.94574544,1.0,kg,1.94574544
Russia,Pyaterochka,tomato,Томаты (Цена за 1 кг),203.99,2.25531344,1.0,kg,2.25531344
Russia,Pyaterochka,cabbage,Капуста белокочанная (Цена за 1 кг),39.99,0.44212944000000004,1.0,kg,0.44212944000000004
Russia,Pyaterochka,onion,Лук репчатый (Цена за 1 кг),59.99,0.66324944,1.0,kg,0.66324944
Russia,Pyaterochka,cucumber,Огурцы короткоплодные 450г (450 г),259.99,2.8744494400000002,0.45,kg,6.387665422222223
Russia,Pyaterochka,cucumber,Огурец Global Village Агромос длинный 1шт. (1 шт),118.99,1.31555344,0.22,kg,5.979788363636364
Russia,Pyaterochka,tomato,Томаты Фламенко сливовидные красные 450г (450 г),239.99,2.6533294400000003,0.45,kg,5.8962876444444445
Russia,Pyaterochka,onion,Лук-репка Выгодно в сетке (Цена за 1 кг),48.49,0.53610544,1.0,kg,0.53610544
Russia,Pyaterochka,cucumber,Огурец Global Village среднеплодный гладкий 600г (600 г),267.99,2.96289744,0.6,kg,4.9381623999999995
Russia,Pyaterochka,tomato,Томаты Фламенко сливовидные (Цена за 1 кг),499.99,5.52788944,1.0,kg,5.52788944
Russia,Pyaterochka,carrot,Морковь мытая упаковка 1кг (1 кг),102.99,1.13865744,1.0,kg,1.13865744
Russia,Pyaterochka,tomato,Томаты Медовые черри красные круглые 200г (200 г),299.99,3.31668944,0.2,kg,16.583447200000002
Russia,Pyaterochka,cucumber,Огурцы Global Village корнишоны премиум 300г (300 г),289.99,3.20612944,0.3,kg,10.687098133333333
Russia,Pyaterochka,tomato,Томаты Черри на ветке 250г (250 г),237.99,2.63121744,0.25,kg,10.52486976
Russia,Pyaterochka,tomato,Томаты Рост Медовые Черри оранжевые круглые 200г (200 г),299.99,3.31668944,0.2,kg,16.583447200000002
Russia,Pyaterochka,tomato,Томаты коктейльные 350г (350 г),226.99,2.50960144,0.35,kg,7.170289828571429
Russia,Pyaterochka,eggplant,Баклажан (Цена за 1 кг),298.99,3.3056334400000003,1.0,kg,3.3056334400000003
Russia,Pyaterochka,cucumber,Огурцы короткоплодные (Цена за 1 кг),389.99,4.31172944,1.0,kg,4.31172944
Russia,Pyaterochka,cucumber,Огурцы Люкс Луховицкие короткоплодные 450г (450 г),278.99,3.0845134400000003,0.45,kg,6.854474311111112
Russia,Pyaterochka,cucumber,Огурцы Луховицкие длинные 1шт. (250 г),123.99,1.37083344,0.25,kg,5.48333376
Russia,Pyaterochka,tomato,Томаты Рост коричневые 350г (350 г),212.99,2.35481744,0.35,kg,6.728049828571429
Russia,Pyaterochka,cucumber,Огурцы среднеплодные колючие 600г (600 г),267.99,2.96289744,0.6,kg,4.9381623999999995
Russia,Pyaterochka,tomato,Томаты Сладкая Ягода Черри красные в ассортименте 200г (200 г),233.99,2.58699344,0.2,kg,12.9349672
