,name,price,uom,supermarket,product_type,weight,price_kg,number_of_units,price_unit,volume,price_lit
1,Cà chua loại so kg,26000,kg,Co.op,tomato,1000.0,26000.0,,,,
6,Cà chua Beef kg,26900,kg,Co.op,tomato,1000.0,26900.0,,,,
8,Cà rốt nhỏ 400g – F,29000,kg,Co.op,carrot,400.0,72500.0,,,,
9,Hành tây baby 300g – F,19000,kg,Co.op,onion,300.0,63333.333333333336,,,,
12,Cà chua trứng Coop Select kg-TNX,32900,kg,Co.op,tomato,1000.0,32900.0,,,,
14,Cà chua trái cây Ngọc Bích Coop Select – 300g,29000,hộp,Co.op,tomato,300.0,96666.66666666667,,,,
15,Cà rốt Coop Select kg,29900,bịch,Co.op,carrot,1000.0,29900.0,,,,
18,Củ hành tây Coop Select kg – TNX,24900,túi,Co.op,onion,1000.0,24900.0,,,,
19,Cà chua beef Coop Select kg – Viet Farm,35900,hộp,Co.op,tomato,1000.0,35900.0,,,,
25,Dưa leo Coop Select kg,23900,kg,Co.op,cucumber,1000.0,23900.0,,,,
31,Cà rốt baby Coop Select 200g,18900,vỉ,Co.op,carrot,200.0,94500.0,,,,
33,Cà chua trái cây 3 màu Coop Select 300g,22900,hộp,Co.op,tomato,300.0,76333.33333333333,,,,
34,Cà chua trái cây vàng Coop Select 300g,22900,hộp,Co.op,tomato,300.0,76333.33333333333,,,,
35,Cà chua trái cây choco Coop Select 300g,22900,hộp,Co.op,tomato,300.0,76333.33333333333,,,,
59,Dưa leo kg – HN – CX,29000,kg,Co.op,cucumber,1000.0,29000.0,,,,
82,Hành tây Đà Lạt kg,17900,kg,Co.op,onion,1000.0,17900.0,,,,
84,Cà chua bi kg,33500,kg,Co.op,tomato,1000.0,33500.0,,,,
91,Dưa leo – kg,23200,kg,Co.op,cucumber,1000.0,23200.0,,,,
101,Cà Chua – kg,23900,kg,Co.op,tomato,1000.0,23900.0,,,,
106,Cà rốt Đà Lạt – Kg,14900,kg,Co.op,carrot,1000.0,14900.0,,,,
118,Dưa leo giống Nhật Coop Select kg,34900,kg,Co.op,cucumber,1000.0,34900.0,,,,
122,Dưa leo baby Coop Select,28900,kg,Co.op,cucumber,1000.0,28900.0,,,,
173,Bắp cải trắng Coop Select kg – TNX,15900,kg,Co.op,cabbage,1000.0,15900.0,,,,
183,Rau muống baby organic 400g – F,25900,gói,Co.op,water_spinach,400.0,64750.0,,,,
194,Rau muống Coop Organic 300g,28000,gói,Co.op,water_spinach,300.0,93333.33333333333,,,,
213,Rau muống baby 250gr – F,20500,gói,Co.op,water_spinach,250.0,82000.0,,,,
228,Rau muống con Coop 300g,13500,gói,Co.op,water_spinach,300.0,45000.0,,,,
236,Rau muống nước,25000,kg,Co.op,water_spinach,1000.0,25000.0,,,,
253,Rau muống hữu cơ Viet RAP 300g – CX,19000,gói,Co.op,water_spinach,300.0,63333.333333333336,,,,
255,Bắp cải trắng – kg,12900,kg,Co.op,cabbage,1000.0,12900.0,,,,
257,Rau muống baby Coop Select gói 280g,13500,gói,Co.op,water_spinach,280.0,48214.28571428572,,,,
269,Rau muống Coop đóng gói 500g,16500,gói,Co.op,water_spinach,500.0,33000.0,,,,
292,Cam vàng Ai Cập hộp 4T 1kg-H990 – F,139000,kg,Co.op,orange,1000.0,139000.0,4.0,34750.0,,
293,Cam Úc,65900,kg,Co.op,orange,1000.0,65900.0,,,,
296,Cam sành Coop Select kg – RPL,23900,kg,Co.op,orange,1000.0,23900.0,,,,
297,Cam sành loại 1 – kg,20900,kg,Co.op,orange,1000.0,20900.0,,,,
299,Cam xoàn loại 1 kg,42500,kg,Co.op,orange,1000.0,42500.0,,,,
305,Cam Ai Cập,49900,kg,Co.op,orange,1000.0,49900.0,,,,
358,Xoài cát Cần Giờ Coop Select M kg,89000,kg,Co.op,mango,1000.0,89000.0,,,,
366,Cà chua bi đỏ Coop Organic 250g – QL,39900,vỉ,Co.op,tomato,250.0,159600.0,,,,
367,Cà chua bi vàng Coop Organic 250g – QL,39900,vỉ,Co.op,tomato,250.0,159600.0,,,,
368,Xoài giống úc kg,39900,kg,Co.op,mango,1000.0,39900.0,,,,
369,Xoài xanh giống Thái,53800,kg,Co.op,mango,1000.0,53800.0,,,,
370,Xoài cát Hòa Lộc L2 – kg,89500,kg,Co.op,mango,1000.0,89500.0,,,,
371,Xoài cát chu – kg,50900,kg,Co.op,mango,1000.0,50900.0,,,,
372,Chuối sáp sống kg,29500,kg,Co.op,banana,1000.0,29500.0,,,,
373,Xoài giống Đài Loan L1 kg,18500,kg,Co.op,mango,1000.0,18500.0,,,,
375,Xoài cát chu da vàng – kg,54900,kg,Co.op,mango,1000.0,54900.0,,,,
378,Xoài keo vàng,14500,kg,Co.op,mango,1000.0,14500.0,,,,
381,Chuối cau,15900,kg,Co.op,banana,1000.0,15900.0,,,,
382,Xoài Tứ Quý,35900,kg,Co.op,mango,1000.0,35900.0,,,,
392,Chuối sứ – kg,19200,kg,Co.op,banana,1000.0,19200.0,,,,
394,Xoài cát Hòa Lộc L1 – kg,101900,kg,Co.op,mango,1000.0,101900.0,,,,
395,Chuối vàng Laha giống Philippin kg – Bảo Phương,34900,kg,Co.op,banana,1000.0,34900.0,,,,
396,Chuối Coop Select L1 kg,31900,kg,Co.op,banana,1000.0,31900.0,,,,
397,Xoài keo,15900,kg,Co.op,mango,1000.0,15900.0,,,,
413,Phi lê gà công nghiệp Coop Select 500g – JF,45600,vỉ,Co.op,chicken_fillet,500.0,91200.0,,,,
420,Trứng gà non 250g – Tam Nong – F,105000,gói,Co.op,egg,250.0,420000.0,,,,
421,File gà công nghiệp 500g – Leboucher,49000,vỉ,Co.op,chicken_fillet,500.0,98000.0,,,,
434,Ức gà file CN kg-KU,98000,kg,Co.op,chicken_fillet,1000.0,98000.0,,,,
435,Ức gà không da Ba Huân 500g,45000,cái,Co.op,chicken_fillet,500.0,90000.0,,,,
439,Ức gà có xương BH 500g,31000,cái,Co.op,chicken_fillet,500.0,62000.0,,,,
449,File ức gà vĩ 500g – CP,50000,vỉ,Co.op,chicken_fillet,500.0,100000.0,,,,
462,PREORDER – Thịt đùi heo 500g hút chân không – Vissan,82000,túi,Co.op,pork_leg,500.0,164000.0,,,,
487,Nạc đùi heo CP 300g,40000,vĩ,Co.op,pork_leg,300.0,133333.33333333334,,,,
494,Nạc đùi heo Vissan,177000,kg,Co.op,pork_leg,1000.0,177000.0,,,,
504,Thịt đùi heo 300g – CP,52000,vỉ,Co.op,pork_leg,300.0,173333.33333333334,,,,
508,Thịt đùi heo Vissan kg,174000,kg,Co.op,pork_leg,1000.0,174000.0,,,,
521,Thịt đùi heo chuẩn ngon (S) kg,144900,kg,Co.op,pork_leg,1000.0,144900.0,,,,
600,Trứng gà hồng 10 trứng – VFood,38000,hộp,Co.op,egg,,,10.0,3800.0,,
601,Trứng gà tươi Tafa 600g – Hộp nhựa,34900,vỉ,Co.op,egg,600.0,58166.666666666664,,,,
603,Trứng gà vỉ 10 trứng x 60g – NTX,30000,vỉ,Co.op,egg,60.0,500000.0,10.0,3000.0,,
604,Trứng gà không phôi Vfarm hộp 6 trứng – F,18600,vỉ,Co.op,egg,,,6.0,3100.0,,
606,Trứng gà ác V.food 10trứng/giỏ – F,40000,giỏ,Co.op,egg,,,10.0,4000.0,,
607,Trứng gà ta Coop Select 10 trứng – VTD,42500,vỉ,Co.op,egg,,,10.0,4250.0,,
608,Trứng gà Ba Huân XL vỉ 10 trứng,33500,vỉ,Co.op,egg,,,10.0,3350.0,,
609,Trứng gà Omega3 & DHA 6 trứng/hộp – VTD,30800,hộp,Co.op,egg,,,6.0,5133.333333333333,,
610,Trứng gà không phôi L1 10 trứng/hộp – Vfarm,31000,vỉ,Co.op,egg,,,10.0,3100.0,,
613,Trứng gà VFood hộp 6 trứng,18600,hộp,Co.op,egg,,,6.0,3100.0,,
614,Trứng gà gộc Ba Huân vĩ 10 trứng,44000,cái,Co.op,egg,,,10.0,4400.0,,
616,Trứng gà Ba Huân DHA hộp 6 trứng,31600,hộp,Co.op,egg,,,6.0,5266.666666666667,,
617,Trứng gà Ba Huân Omega 3 hộp 6 trứng,32000,hộp,Co.op,egg,,,6.0,5333.333333333333,,
618,Trứng gà gộc Vfood vĩ 4 trứng,16500,vỉ,Co.op,egg,,,4.0,4125.0,,
619,Trứng gà Ba Huân vĩ 6 trứng,18600,vỉ,Co.op,egg,,,6.0,3100.0,,
620,Trứng gà ta Vfood giỏ 10 trứng,43000,giỏ,Co.op,egg,,,10.0,4300.0,,
621,Trứng gà ác Ba Huân giỏ 10 trứng,45000,giỏ,Co.op,egg,,,10.0,4500.0,,
622,Trứng gà Coop Select size L 10T (BH),31000,hộp,Co.op,egg,,,10.0,3100.0,,
623,Trứng Gà Coop Select Loại 1 vĩ 10 Trứng,31000,hộp,Co.op,egg,,,10.0,3100.0,,
624,Trứng Gà Coop Select Loại 1 vỉ 6 Trứng,18600,hộp,Co.op,egg,,,6.0,3100.0,,
1511,Tàu hũ trắng Tafu 300g,10400,gói,Co.op,tofu,300.0,34666.666666666664,,,,
1518,Tàu hũ trắng Ichi-Sakura 350g,12900,hộp,Co.op,tofu,350.0,36857.142857142855,,,,
1519,Đậu hũ Vina 300g,11000,hộp,Co.op,tofu,300.0,36666.666666666664,,,,
1540,Đậu Hũ Lụa Cao Cấp Vina Tofu 220g,6700,gói,Co.op,tofu,220.0,30454.545454545452,,,,
1542,Đậu Hũ Non Cao Cấp Vina ToFu 300g,10400,hộp,Co.op,tofu,300.0,34666.666666666664,,,,
1544,Đậu hũ non Coop Select 280g,9900,gói,Co.op,tofu,280.0,35357.142857142855,,,,
1546,Sữa chua trái cây Hoff chuối organic lốc 6 x 55g,110600,lốc,Co.op,yogurt,330.0,335151.51515151514,6.0,18433.333333333332,,
1701,Bánh baguette mini 125g-SS990 – F,7000,phần,Co.op,bread,125.0,56000.0,,,,
1703,Bánh baguette Pháp 300g-SS990 – F,19000,phần,Co.op,bread,300.0,63333.333333333336,,,,
1707,Bánh mì tươi 160g-SS990 – F,13000,phần,Co.op,bread,160.0,81250.0,,,,
1709,Bánh baguette dài 230g-SS990 – F,10000,phần,Co.op,bread,230.0,43478.260869565216,,,,
1716,Bánh Sandwich óc chó 250g – F,32000,bịch,Co.op,bread,250.0,128000.0,,,,
1723,Bánh sandwich 250g – F,24000,gói,Co.op,bread,250.0,96000.0,,,,
1731,Bánh mì sandwich 275g,20500,cái,Co.op,bread,275.0,74545.45454545454,,,,
1743,Bánh mì sandwich tươi lạt Otto 450g,27600,gói,Co.op,bread,450.0,61333.333333333336,,,,
1745,Bánh mì sandwich tươi lạt Otto 220g,15500,bịch,Co.op,bread,220.0,70454.54545454546,,,,
1866,Bánh mì Plain trắng 130g – SB990,20000,cái,Co.op,bread,130.0,153846.15384615384,,,,
1893,Bánh mì sandwich Staff 275g,19900,cái,Co.op,bread,275.0,72363.63636363635,,,,
1894,Bánh mì sandwich Staff 110g,8900,cái,Co.op,bread,110.0,80909.09090909091,,,,
1895,Bánh mì Paket Bảo Ngọc 108g,12000,cái,Co.op,bread,108.0,111111.11111111111,,,,
3206,Sữa tiệt trùng Dutch Lady không đường 220ml,6900,gói,Co.op,milk,,,,,220.0,31363.636363636364
3207,Sữa tiệt trùng Dutch Lady không đường 48 x 220ml,329000,thùng,Co.op,milk,,,48.0,6854.166666666667,10560.0,31155.303030303032
3213,Sữa dinh dưỡng Vinamilk không đường 6 gói x 220ml,46500,bộ,Co.op,milk,,,6.0,7750.0,1320.0,35227.27272727273
3217,Sữa tươi tiệt trùng Dalat không đường 48 x 220ml,401600,thùng,Co.op,milk,,,48.0,8366.666666666666,10560.0,38030.30303030303
