product_category,key_points
cucumber,"• Cucumbers are 77% (4.3×) cheaper in Vietnam.

• Even Russia’s cheapest options are pricier than Vietnam’s median, making cucumbers notably less affordable.

• The difference is likely due to Russia’s reliance on greenhouse production in colder months, while Vietnam’s warm climate supports year-round growing. This is especially relevant since the data was collected in early March, still within Russia’s winter season."
ground_coffee,"• Coffee in Vietnam is about 51% cheaper than in Russia (2x difference).

• Local production keeps Vietnamese prices low, while Russia depends on imports.

• Although Russia has a wider selection, over 90% of its options are priced well above Vietnam’s median."
carrot,"• Prices are nearly identical — Vietnam is only 3–5% more expensive depending on the type.

• Regular-sized carrots (excluding baby carrots) are 0.98 USD/kg in Vietnam vs. 0.93 USD/kg in Russia.

• Small sample sizes in both countries suggest the difference may not be meaningful."
chicken_fillet,"• Chicken fillet is 33% cheaper in Vietnam overall.

• One Russian item is priced at 3.65 USD/kg, close to Vietnam’s median, but it's an outlier and may not reflect typical prices.

• Small sample sizes limit certainty, but the price gap is still significant."
banana,"• Bananas in Vietnam are 38% cheaper overall than in Russia. For long bananas (comparable to those sold in Russia), the median price is 1.41 USD/kg, still about 25% cheaper.

• The lower prices in Vietnam may reflect local production and shorter transport distances, though this is based on limited available data.

• Russia offers only one type of banana, all imported, which may contribute to higher and less flexible pricing."
cabbage,"• Cabbage is moderately more expensive in Vietnam — about 8% higher on average, or up to 22% when excluding a notably pricier ""new harvest"" cabbage in Russia.

• Russian prices are generally lower, though the sample size in both countries is very small.

• While data is limited, the available prices suggest better affordability in Russia."
pork_leg,"• Pork leg is 28% more expensive in Vietnam overall.

• Despite its popularity, even Vietnam’s cheapest options (5.23–5.68 USD/kg) are still above Russia’s median.

• The price gap may reflect supply chain differences, local demand, or production costs."
salt,"• Salt is 77% (4.4x) cheaper in Vietnam overall.

• Russia shows a much wider price range, with a few ultra-cheap options starting at 0.15 USD/kg, but many products priced significantly higher, pulling the median up.

• Vietnam’s consistently low prices reflect a narrower, locally driven market — the difference likely comes down to local production and less variation in product types."
water,"• Water in Vietnam is 39% cheaper by median, though the cheapest 10% of options are comparable in both countries — up to 0.23 USD/l in Vietnam vs up to 0.27 USD/l in Russia.

• Russia’s higher median likely reflects a broader price range, which could be driven by a wider selection of bottled water types — including various mineral compositions and sources."
mango,"• Mango is about 69% (3.2x) cheaper in Vietnam, thanks to local production.

• In Russia, mangoes are imported, which raises prices.

• Russia’s limited sample size makes it hard to assess variety or typical price spread."
milk,"• Milk is 36% more expensive in Vietnam overall.

• In Russia, milk is mostly locally produced and sold in standard packages, keeping the median price lower.

• In Vietnam, both local and imported brands are common, and smaller packaging is more frequent—factors that raise the price per liter.

• While Vietnam does offer options priced similarly to Russia, 90% of items are still above Russia's median, showing a clear overall difference."
water_spinach,"• Water spinach is widely available and moderately priced in Vietnam, but not found in Russian stores"
sugar,"• Sugar is 16% cheaper in Vietnam by median, but Russia offers budget options priced as low as 0.66–0.91 USD/kg, which are below Vietnam’s cheapest, making overall prices fairly comparable.

• Vietnam’s pricing is more consistent, with less variation—its cheapest and most expensive options remain within a narrower range."
rice_noodles,"• Rice noodles are 67% (3x) cheaper in Vietnam.

• In Vietnam, they’re a staple with widespread local production — unlike in Russia, where they’re uncommon and mostly imported.

• Even the cheapest option in Russia costs 7.05 USD/kg, which is still well above Vietnam’s median, highlighting the impact of import costs and lower local demand."
soybean_oil,• Soybean oil is commonly available in Vietnam but not found in the Russian dataset.
rice,"• Rice is 44% cheaper in Vietnam overall.

• While Russia's median is higher, the cheapest 10% of items are close to Vietnam’s typical prices — showing affordable options still exist.

• Vietnam’s year-round tropical farming and lower production costs likely explain the difference, while Russia’s rice production is more limited and seasonal."
buckwheat,"• Buckwheat is 2.3x more expensive in Vietnam, with the only available item priced at 4.20 USD/kg.

• In Russia, buckwheat is a staple food, widely available and affordable.

• In Vietnam, it's a rare, imported niche product, which likely explains the high price."
eggplant,"• In Vietnam, eggplant is 69% cheaper than in Russia — a striking price difference.

• The cost gap likely reflects climate: Vietnam’s growing conditions are more suitable, while Russia may rely on greenhouse production, raising prices.

• Small sample sizes in both countries mean this insight should be taken with some caution."
spaghetti,"• Spaghetti is over twice as expensive in Vietnam by median, with even the cheapest options priced well above Russia’s median.

• Russia benefits from local production, keeping prices low and offering budget-friendly options.

• In Vietnam, higher prices likely stem from reliance on imports and spaghetti being a less common staple."
fish_sauce,"• Fish sauce in Vietnam is 46% cheaper than in Russia.

• In Russia, it’s a niche, imported product with low demand — likely explaining the high price.

• With only one item available in Russia, deeper comparison isn’t possible."
egg,"• In Vietnam, a pack of 10 eggs costs 1.35 USD, which is 11% cheaper than in Russia (1.51 USD). (Chart shows price per 1 egg.)

• The typical price range is nearly the same in both countries, suggesting eggs are similarly affordable."
bread,"• Bread is 31% more expensive per kg in Vietnam overall, but fresh baguettes priced at 1.70–2.20 USD/kg are comparable to Russia’s median (2.24 USD/kg), offering some affordable options.

• Russia’s bread market is diverse and affordable, reflecting high demand and domestic wheat production.

• In Vietnam, higher prices and limited variety likely stem from lower popularity, imported wheat, and rice being the dominant staple."
