country,supermarket,product_category,product_name,normalized_price,is_outlier
Vietnam,Winmart,milk,Thùng 48 hộp sữa tươi tiệt trùng Vinamilk không đường 180ml (T),1.7973083333333335,False
Vietnam,Winmart,milk,Sữa tiệt trùng Cô gái Hà Lan không đường hộp 1lít (HOP),1.4077826,False
Vietnam,Winmart,milk,Sữa tươi tiệt trùng nguyên kem Meadow Fresh hộp 1L (HOP),2.097949,False
Vietnam,Winmart,milk,Sữa tươi tiệt trùng Vinamilk không đường hộp 1 lít (HOP),1.4862106,False
Vietnam,Winmart,milk,Sữa tươi tiệt trùng nguyên chất TH True Milk hộp 1 lít (HOP),1.5764028,False
Vietnam,Winmart,milk,Sữa thanh trùng Dalat Milk không đường hộp 180ml (HOP),2.7231944444444443,False
Vietnam,Winmart,milk,Sữa thanh trùng Dalat Milk không đường 950ml (HOP),1.9648277894736843,False
Vietnam,Winmart,milk,Sữa thanh trùng nguyên chất TH Milk 950ml (HOP),1.8863997894736844,False
Vietnam,Winmart,milk,Sữa tiệt trùng Vinamilk không đường túi 220ml (G1),1.3190163636363634,False
Vietnam,Winmart,milk,Thùng 48 túi sữa tươi tiệt trùng Cô gái Hà Lan không đường 180ml (T),1.677487777777778,False
Vietnam,Winmart,milk,Thùng 48 hộp sữa tươi tiệt trùng Dutch Lady không đường 180ml (T),1.8408794444444445,False
Vietnam,Winmart,milk,Sữa tươi tiệt trùng nguyên chất TH True Milk thùng 48 gói x 220ml (T),1.6755072727272728,False
Vietnam,Winmart,milk,Sữa tiệt trùng Vinamilk Flex không đường hộp 1L (HOP),1.4666036,False
Vietnam,Winmart,milk,Sữa tươi tiệt trùng ít béo Meadow Fresh hộp 1L (HOP),1.9528572,False
Vietnam,Winmart,milk,Sữa tươi tiệt trùng Meadow Fresh giàu canxi hộp 1L (HOP),2.3057832,False
Vietnam,Winmart,milk,Thùng 48 hộp sữa tươi tiệt trùng nguyên chất TH True Milk 180ml (T),2.0968597222222223,False
Vietnam,Winmart,milk,Lốc 4 hộp sữa tươi tiệt trùng nguyên chất THtrue Milk 110ml (G4),2.281541818181818,False
Vietnam,Winmart,milk,Sữa tiệt trùng tự nhiên Dalatmilk 220ml (G1),1.6755072727272728,False
Vietnam,Winmart,milk,Lốc 4 hộp sữa tươi tiệt trùng không đường Vinamilk Green Farm 180ml (G4),2.2057875,False
Vietnam,Winmart,milk,Lốc 4 hộp sữa tiệt trùng THTRUE MILK topkid 180ml (G4),3.126227222222223,False
Vietnam,Winmart,milk,Sữa tươi thanh trùng Meiji hộp 946ml (HOP),2.7565866807610995,False
Vietnam,Winmart,milk,Sữa tươi thanh trùng Meiji 4.3% hộp 946ml (HOP),2.9431226215644823,False
Vietnam,Co.op,milk,Sữa tiệt trùng Dutch Lady không đường 220ml (gói),1.2298936363636364,False
Vietnam,Co.op,milk,Sữa tiệt trùng Dutch Lady không đường 48 x 220ml (thùng),1.221724053030303,False
Vietnam,Co.op,milk,Sữa dinh dưỡng Vinamilk không đường 6 gói x 220ml (bộ),1.3814022727272728,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Dalat không đường 48 x 220ml (thùng),1.491320303030303,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Dutch Lady không đường 48 x 180ml (thùng),1.4205997685185185,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Dutch Lady không đường 180ml (bịch),1.4378466666666663,False
Vietnam,Co.op,milk,Sữa dinh dưỡng Vinamilk không đường 48 bịch x 220ml (thùng),1.373975378787879,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Vinamilk 100% sữa tươi không đường 6 x 220ml (bộ),1.5447939393939394,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Vinamilk 100% sữa tươi không đường 48x220ml (thùng),1.5336535984848487,False
Vietnam,Co.op,milk,Sữa dinh dưỡng Vinamilk không đường gói 220ml (bịch),1.3903145454545456,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Vinamilk 100% sữa tươi không đường 220ml (bịch),1.56856,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng TH nguyên chất 48 bịch x 220ml (thùng),1.562618484848485,False
Vietnam,Co.op,milk,Sữa dinh dưỡng tiệt trùng VPMILK OMEGA không đường gói 220ml (gói),1.4616127272727273,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Dalat Milk không đường 220ml (bịch),1.497261818181818,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng TH True Milk nguyên chất bịch 220ml (gói),1.6042090909090905,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng NutiMilk tươi sạch nguyên chất hộp giấy 12 x 1L (thùng),1.4149718333333334,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Australia’s Own nguyên kem 1L (hộp),1.8391366,False
Vietnam,Co.op,milk,Sữa tươi VPmilk Uht không đường thùng 48 x 180ml (thùng),1.901697453703704,False
Vietnam,Co.op,milk,Sữa tươi nguyên chất tiệt trùng Green Farm Organic hộp giấy 1L (hộp),2.1881412,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng TH True Gold 4 x 180ml (lốc),3.8778288888888883,True
Vietnam,Co.op,milk,Sữa tươi thanh trùng Green Farm không đường 900ml (hộp),2.15677,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Cowhead nguyên kem hộp giấy 1L – CX – F (hộp),1.8783506,False
Vietnam,Co.op,milk,Sữa tiệt trùng Devondale pure milk 6 x 200ml (lốc),3.431225,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng TH nguyên chất 48 x 110ml (thùng),2.2191559090909094,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng NutiMilk tươi sạch nguyên chất hộp 1L (hộp),1.431311,False
Vietnam,Co.op,milk,Sữa tươi Meadow Fresh canxi hộp giấy 1L (hộp),2.4273466,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng ít béo Meadow Fresh hộp 1L (hộp),2.0116782,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Nuitmilk tươi sạch nguyên chất 4x180ml (lốc),1.8517722222222222,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Vinamilk 100% ít béo không đường lốc 4x180ml (lốc),1.8354330555555558,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Reta milk 1L (hộp),1.9058004,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng President nguyên kem 3.5% béo 1L (hộp),2.078342,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Mlekovita nguyên kem 3.5% béo 1L (hộp),1.6783592,False
Vietnam,Co.op,milk,Sữa tươi nguyên chất tiệt trùng Green Farm 12x1L (thùng),1.6352238000000001,False
Vietnam,Co.op,milk,Sữa tươi nguyên chất tiệt trùng Green Farm 1L (hộp),1.6352238000000001,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Vinamilk 100% sữa tươi không đường lốc 4x180ml (lốc),1.8354330555555558,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Vitadairy sữa non 24x180ml (thùng),2.859354166666667,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Vitadairy sữa non 3x180ml (lốc),2.8902170370370373,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Vinamilk Green Farm không đường thùng 48x180ml (thùng),2.105937037037037,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Emborg nguyên kem hộp 1L (hộp),1.784237,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng nguyên kem Harvey Fresh 1L – F (hộp),2.176377,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Vinamilk 100% không đường thùng 48x180ml (thùng),1.8290789351851853,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Vinamilk 100% không đường hộp giấy 1L (hộp),1.470525,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Vinamilk Green Farm không đường 4x180ml (lốc),2.1240916666666663,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Vinamilk 100% không đường thùng 12x1L (thùng),1.4672571666666663,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng TH ngũ cốc 48x180ml (thùng),2.646945,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng TH ngũ cốc 4x180ml (lốc),2.646945,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Promess Vitamin hộp giấy 1L (hộp),1.9528572,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Vinamilk 100% ít béo không đường thùng 48x180ml (thùng),1.8290789351851853,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Anchor nguyên chất hộp giấy 1L (hộp),2.372447,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng nguyên chất TH True Milk 4 x 110 ml (lốc),2.2191559090909094,False
Vietnam,Co.op,milk,Sữa tươi Devondale nguyên chất hộp 1L (hộp),2.6626306,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng TH không đường 48x180ml (thùng),2.0260566666666664,False
Vietnam,Co.op,milk,Sữa tiệt trùng Dutch Lady không đường 48x180ml (thùng),1.7927696759259262,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Dutch Lady không đường 12x965ml (thùng),1.4161739896373058,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Dalat không đường 48x180ml (thùng),1.9171288888888887,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng Dalat không đường 4x180ml (lốc),1.9171288888888887,False
Vietnam,Co.op,milk,Sữa tươi VPmilk Uht không đường lốc 4 x 180ml (lốc),1.9389144444444446,False
Vietnam,Co.op,milk,Sữa tươi tiệt trùng TH True Milk nguyên chất hộp 1L (hộp),1.5371888,False
Vietnam,Co.op,milk,Sữa tiệt trùng Dutch Lady không đường hộp giấy 965ml (hộp),1.4182058031088085,False
Vietnam,Co.op,milk,Sữa tươi Meadow Fresh ít béo hộp giấy 200ml (lốc),3.1044416666666668,False
Vietnam,Co.op,milk,Sữa tươi Meadow Fresh canxi 3 x 200ml (lốc),3.5619383333333325,False
