category_name,name,price,uom,supermarket
"Nước rửa rau, củ, quả","Bột rửa rau củ, thịt cá Ion – Canxi Umikai 100g",195000,chai,Co.op
Củ,Cà chua loại so kg,26000,kg,Co.op
Củ,Hành tím Vĩnh Châu chùm kg,72800,kg,Co.op
Củ,Tỏi khô 250g-K990 – F,119000,túi,Co.op
Củ,Nấm hương tươi Vinamush 250g,51500,hộp,Co.op
Củ,Nấm hương tươi Vinamush 150g,33000,hộp,Co.op
Củ,Cà chua Beef kg,26900,kg,Co.op
Củ,Chanh vàng 500g – F,79000,túi,Co.op
Củ,Cà rốt nhỏ 400g – F,29000,kg,Co.op
Củ,Hành tây baby 300g – F,19000,kg,Co.op
Củ,Khoai tây hồng Coop Select kg – TNX,39900,kg,Co.op
Củ,Chanh không hạt Coop Select 500g,14900,túi,Co.op
Củ,Cà chua trứng Coop Select kg-TNX,32900,kg,Co.op
Củ,Bí hạt đậu Coop Select kg,51900,trái,Co.op
Củ,Cà chua trái cây Ngọc Bích Coop Select – 300g,29000,hộp,Co.op
Củ,Cà rốt Coop Select kg,29900,bịch,Co.op
Củ,Nấm hương khô Xuân Hồng gói 50g,22000,gói,Co.op
Củ,Sả cây 100g,4900,bịch,Co.op
Củ,Củ hành tây Coop Select kg – TNX,24900,túi,Co.op
Củ,Cà chua beef Coop Select kg – Viet Farm,35900,hộp,Co.op
Củ,Hành lá 100g – F,12000,gói,Co.op
Củ,Măng muối ớt dổi Kim Bôi 750g,40600,hộp,Co.op
Củ,Măng nứa tươi Kim Bôi 500g,28500,gói,Co.op
Củ,Lẩu nấm 300 Việt Hàn TNP – F,33000,vỉ,Co.op
Củ,Mướp hương baby 400g – F,31000,gói,Co.op
Củ,Dưa leo Coop Select kg,23900,kg,Co.op
Củ,Khổ qua Coop Select kg,29900,kg,Co.op
Củ,Mướp hương Coop Select kg,23900,kg,Co.op
Củ,Bí đao Coop Select kg,22900,kg,Co.op
Củ,Bầu Coop Select kg,20900,kg,Co.op
Củ,Khoai lang Coop Select 800g,32900,túi,Co.op
Củ,Cà rốt baby Coop Select 200g,18900,vỉ,Co.op
Củ,Ớt chuông baby 3 màu Coop Select 250g,26900,vỉ,Co.op
Củ,Cà chua trái cây 3 màu Coop Select 300g,22900,hộp,Co.op
Củ,Cà chua trái cây vàng Coop Select 300g,22900,hộp,Co.op
Củ,Cà chua trái cây choco Coop Select 300g,22900,hộp,Co.op
Củ,Tỏi xay 50g – H.Vu – F,12500,gói,Co.op
Củ,Ớt xay 50g – H.Vu – F,10500,gói,Co.op
Củ,Hành tím xay 50g – H.Vu – F,10900,gói,Co.op
Củ,Tỏi cô đơn 200g – F – CX,53900,gói,Co.op
Củ,Nấm hương rừng Lý Tưởng 50g,31000,gói,Co.op
Củ,Củ sen tươi cắt lát Coop Select 250g,26500,kg,Co.op
Củ,Khoai sọ gọt vỏ 400g – Senta – F,36000,bịch,Co.op
Củ,Bí giống Mỹ Coop Select kg – TNX,21900,kg,Co.op
Củ,Bí ngòi xanh Coop Select kg – V.F,34900,kg,Co.op
Củ,Măng búp tươi 500g – Kim Boi,28500,bịch,Co.op
Củ,Nấm kim chân Hàn Quốc 150g – TNP,17000,gói,Co.op
Củ,Nấm đùi gà Hàn Quốc 200g – TNP,38900,gói,Co.op
Củ,Bông cải xanh COOP kg,47000,kg,Co.op
Củ,Hạt sen tươi Coop Select 150g,42900,gói,Co.op
Củ,Củ sen tươi nguyên củ Coop Select 450g,30500,gói,Co.op
Củ,Khoai tây Đà Lạt – kg,25900,kg,Co.op
Củ,Trái bí đao,14500,kg,Co.op
Củ,Nấm đông cô Lý Tưởng Việt 60g,55400,gói,Co.op
Củ,Bí đao 1 trái,8000,trái,Co.op
Củ,Bầu 1 trái,10000,trái,Co.op
Củ,Khổ qua 500g,12500,phần,Co.op
Củ,Khoai tây 500g,16900,phần,Co.op
Củ,Khoai mỡ kg,44000,kg,Co.op
Củ,Dưa leo kg – HN – CX,29000,kg,Co.op
Củ,Khổ qua trái kg,23800,kg,Co.op
Củ,Nấm mèo thái sợi 100g,34400,gói,Co.op
Củ,Trái bầu kg,18000,kg,Co.op
Củ,Khoai lang,32900,kg,Co.op
Củ,Lẩu nấm 300g – THT,33300,gói,Co.op
Củ,Bắp nếp cặp Coop,23800,gói,Co.op
Củ,Nấm ngọc châm trắng 150g – THT,36900,hộp,Co.op
Củ,Nấm bào ngư xám 250g – THT,20000,vỉ,Co.op
Củ,Khoai lang tím giống Nhật – kg,37000,kg,Co.op
Củ,Hành tím Ấn Độ kg,47900,kg,Co.op
Củ,Hạt sen tươi Senta 200g,67900,gói,Co.op
Củ,Khoai tây vàng Coop Select kg – VietFarm,34900,kg,Co.op
Củ,Đậu phộng tươi còn vỏ kg,70500,kg,Co.op
Củ,Bắp trái siêu ngọt Coop,22500,trái,Co.op
Củ,Bí đỏ non – kg,29500,kg,Co.op
Củ,Nấm đùi gà THT gói 200g,40000,gói,Co.op
Củ,Cà pháo trắng,33000,kg,Co.op
Củ,Ớt sừng trâu,100000,kg,Co.op
Củ,Khoai tây bi,33500,kg,Co.op
Củ,Nấm kim châm HQ 150g-TA,15500,gói,Co.op
Củ,Bí ngòi xanh,24500,kg,Co.op
Củ,Ớt hiểm,105000,kg,Co.op
Củ,Hành tây Đà Lạt kg,17900,kg,Co.op
Củ,Nấm kim châm VN 150g – THT,18500,gói,Co.op
Củ,Cà chua bi kg,33500,kg,Co.op
Củ,Ớt chuông đỏ Đà Lạt kg,58000,kg,Co.op
Củ,Chanh không hạt túi Việt Nam kg,30000,kg,Co.op
Củ,Măng chua thái sẵn 300g,27500,gói,Co.op
Củ,Măng Giang đặc sản 300g KBOI,37600,gói,Co.op
Củ,Củ sen tươi cắt lát 250g SENTA,26500,gói,Co.op
Củ,Sả cây kg,21000,kg,Co.op
Củ,Dưa leo – kg,23200,kg,Co.op
Củ,Mướp hương,29900,kg,Co.op
Củ,Chanh dây,36900,kg,Co.op
Củ,Bí đỏ tròn,20000,kg,Co.op
Củ,Khoai Môn,56000,kg,Co.op
Củ,Ớt sừng,126000,kg,Co.op
Củ,Khoai lang Coop Select túi kg,42500,kg,Co.op
Củ,Su hào,27900,kg,Co.op
Củ,Chanh dây,50500,kg,Co.op
Củ,Củ cải trắng,17900,kg,Co.op
Củ,Cà Chua – kg,23900,kg,Co.op
Củ,Bí đỏ giống Mỹ – kg,12000,kg,Co.op
Củ,Củ dền,36900,kg,Co.op
Củ,Hành tím Lý Sơn kg,89000,kg,Co.op
Củ,Bắp mỹ siêu ngọt Hiệp Nông (2 trái),19900,cặp,Co.op
Củ,Cà rốt Đà Lạt – Kg,14900,kg,Co.op
Củ,Ớt chuông vàng Coop Select,77500,kg,Co.op
Củ,Ớt chuông 2 màu Coop Select,64500,kg,Co.op
Củ,Nấm tiểu yến Coop Select 150g,28200,hộp,Co.op
Củ,Nấm mỡ trắng Coop Finest 200g,49900,vỉ,Co.op
Củ,Nấm mỡ nâu Coop Finest 200g,64900,vỉ,Co.op
Củ,Nấm mèo Coop Select 150g,14900,hộp,Co.op
Củ,Lẩu nấm số 1 Coop Select 300g,36200,vỉ,Co.op
Củ,Chanh không hạt Coop Select hộp 6 trái,16900,vỉ,Co.op
Củ,Chanh không hạt Coop Select hộp 4 trái,10500,vỉ,Co.op
Củ,Bí đao kg – Hiệp Nông – CX,22000,kg,Co.op
Củ,Bầu sao VG kg – Hiệp Nông – CX,24000,kg,Co.op
Củ,Dưa leo giống Nhật Coop Select kg,34900,kg,Co.op
Củ,Nấm hương 150g – THT,32500,hộp,Co.op
Củ,Chanh không hạt,28000,kg,Co.op
Củ,Mướp hương – CX,29900,kg,Co.op
Củ,Dưa leo baby Coop Select,28900,kg,Co.op
Củ,Ớt chuông xanh Coop Select,60900,kg,Co.op
Củ,Su su kg,25000,kg,Co.op
Củ,Me vắt kg,46000,kg,Co.op
Củ,Củ sắn kg,24500,kg,Co.op
Củ,Củ tỏi Hải Dương,120000,kg,Co.op
Củ,Nấm rơm,140000,kg,Co.op
Củ,Củ gừng,73500,kg,Co.op
"Rau nêm, rau thơm",Ngò rí Organic Bio 50g – F,8900,gói,Co.op
"Rau nêm, rau thơm",Hành lá baby Organic Bio 50g – F,8500,gói,Co.op
"Rau nêm, rau thơm",Nấm bào ngư trắng 250g,16500,vỉ,Co.op
"Rau nêm, rau thơm",Cải mầm 150g – F,23000,gói,Co.op
"Rau nêm, rau thơm",Rau dền cơm baby Organic 250g – F,18500,gói,Co.op
"Rau nêm, rau thơm",Rau thơm hỗn hợp 200g – F,28600,gói,Co.op
"Rau nêm, rau thơm",Lá hẹ 100g – F,8500,gói,Co.op
"Rau nêm, rau thơm",Thì là 100g – F,16000,gói,Co.op
"Rau nêm, rau thơm",Diếp cá Organic 50g – F,7500,gói,Co.op
"Rau nêm, rau thơm",Ngò ôm và ngò gai 100g – F,11500,gói,Co.op
"Rau nêm, rau thơm",Cần tàu 100g – F,10500,gói,Co.op
"Rau nêm, rau thơm",Húng quế Organic 50g – F,8000,gói,Co.op
"Rau nêm, rau thơm",Rau thơm hỗn hợp 100g,10000,gói,Co.op
"Rau nêm, rau thơm",Rau nêm hỗn hợp 80g – TP,10500,gói,Co.op
"Rau nêm, rau thơm",Giá sống 250g – TKCO,6200,gói,Co.op
"Rau nêm, rau thơm",Cải thìa gói 300g,12000,gói,Co.op
"Rau nêm, rau thơm",Rau dấp cá,62000,kg,Co.op
"Rau nêm, rau thơm",Rau hỗn hợp,68000,kg,Co.op
"Rau nêm, rau thơm",Rau kinh giới,62000,kg,Co.op
"Rau nêm, rau thơm",Húng lủi,95000,kg,Co.op
"Rau nêm, rau thơm",Tỏi Lý sơn Coop 1Kg,185000,kg,Co.op
"Rau nêm, rau thơm",Hành lá kg,74000,kg,Co.op
"Rau nêm, rau thơm",Húng cây – kg,73000,kg,Co.op
"Rau nêm, rau thơm",Rau Thì là – Kg,75000,kg,Co.op
"Rau nêm, rau thơm",Rau tía tô – Kg,62000,kg,Co.op
"Rau nêm, rau thơm",Rau răm BB&CC – gói 50g,6900,gói,Co.op
"Rau nêm, rau thơm",Rau ngò rí (Rau mùi) kg,83000,kg,Co.op
"Rau xào, nấu canh",Cải ngọt thủy canh 300g,11900,gói,Co.op
"Rau xào, nấu canh",Cải ngọt 500g,15000,gói,Co.op
"Rau xào, nấu canh",Cải ngọt 300g,10200,gói,Co.op
"Rau xào, nấu canh",Bông cải Brussel baby Úc 300g-K990 – F,119000,vỉ,Co.op
"Rau xào, nấu canh",Bông cải trắng Perfect Úc kg-K990 – F,259000,kg,Co.op
"Rau xào, nấu canh",Rau Spinach baby Úc 100g-K990 – F,85000,kg,Co.op
"Rau xào, nấu canh",Bông cải xanh Perfect Úc kg-K990 – F,289000,kg,Co.op
"Rau xào, nấu canh",Cải xanh baby Organic Bio 250g – F,19500,gói,Co.op
"Rau xào, nấu canh",Rau ngót Organic bio 250B – F,18500,gói,Co.op
"Rau xào, nấu canh",Cải thìa đà lạt Coop Select 300g – TNX,16500,gói,Co.op
