,name,price,uom,product_type,supermarket,weight,price_kg,number_of_units,price_unit,volume,price_lit
0,Багет традиционный 230г,0.50846544,230 г,bread,Pyaterochka,230.0,2.210719304347826,,,,
1,Багет Фитнес 200г,0.55268944,200 г,bread,Pyaterochka,200.0,2.7634472000000003,,,,
2,Багет мини 120г,0.28734543999999995,120 г,bread,Pyaterochka,120.0,2.3945453333333333,,,,
3,Хлеб Маг с семечками 390г,0.8401454399999999,390 г,bread,Pyaterochka,390.0,2.1542190769230767,,,,
4,Огурцы среднеплодные,1.94574544,Цена за 1 кг,cucumber,Pyaterochka,1000.0,1.94574544,,,,
5,Томаты,2.25531344,Цена за 1 кг,tomato,Pyaterochka,1000.0,2.25531344,,,,
6,Капуста белокочанная,0.44212944000000004,Цена за 1 кг,cabbage,Pyaterochka,1000.0,0.44212944000000004,,,,
7,Лук репчатый,0.66324944,Цена за 1 кг,onion,Pyaterochka,1000.0,0.66324944,,,,
8,Огурцы короткоплодные 450г,2.8744494400000002,450 г,cucumber,Pyaterochka,450.0,6.387665422222223,,,,
9,Огурец Global Village Агромос длинный 1шт.,1.31555344,1 шт,cucumber,Pyaterochka,220.0,5.979788363636364,,,,
10,Томаты Фламенко сливовидные красные 450г,2.6533294400000003,450 г,tomato,Pyaterochka,450.0,5.8962876444444445,,,,
11,Лук-репка Выгодно в сетке,0.53610544,Цена за 1 кг,onion,Pyaterochka,1000.0,0.53610544,,,,
12,Огурец Global Village среднеплодный гладкий 600г,2.96289744,600 г,cucumber,Pyaterochka,600.0,4.9381623999999995,,,,
13,Томаты Фламенко сливовидные,5.52788944,Цена за 1 кг,tomato,Pyaterochka,1000.0,5.52788944,,,,
14,Морковь мытая упаковка 1кг,1.13865744,1 кг,carrot,Pyaterochka,1000.0,1.13865744,,,,
15,Томаты Медовые черри красные круглые 200г,3.31668944,200 г,tomato,Pyaterochka,200.0,16.583447200000002,,,,
16,Огурцы Global Village корнишоны премиум 300г,3.20612944,300 г,cucumber,Pyaterochka,300.0,10.687098133333333,,,,
17,Томаты Черри на ветке 250г,2.63121744,250 г,tomato,Pyaterochka,250.0,10.52486976,,,,
18,Томаты Рост Медовые Черри оранжевые круглые 200г,3.31668944,200 г,tomato,Pyaterochka,200.0,16.583447200000002,,,,
19,Томаты коктейльные 350г,2.50960144,350 г,tomato,Pyaterochka,350.0,7.170289828571429,,,,
20,Баклажан,3.3056334400000003,Цена за 1 кг,eggplant,Pyaterochka,1000.0,3.3056334400000003,,,,
21,Огурцы короткоплодные,4.31172944,Цена за 1 кг,cucumber,Pyaterochka,1000.0,4.31172944,,,,
22,Огурцы Люкс Луховицкие короткоплодные 450г,3.0845134400000003,450 г,cucumber,Pyaterochka,450.0,6.854474311111112,,,,
23,Огурцы Луховицкие длинные 1шт.,1.37083344,250 г,cucumber,Pyaterochka,250.0,5.48333376,,,,
24,Томаты Рост коричневые 350г,2.35481744,350 г,tomato,Pyaterochka,350.0,6.728049828571429,,,,
25,Огурцы среднеплодные колючие 600г,2.96289744,600 г,cucumber,Pyaterochka,600.0,4.9381623999999995,,,,
26,Томаты Сладкая Ягода Черри красные в ассортименте 200г,2.58699344,200 г,tomato,Pyaterochka,200.0,12.9349672,,,,
27,Морковь мини 250г,0.9728174399999999,250 г,carrot,Pyaterochka,250.0,3.8912697599999997,,,,
28,Морковь целая очищенная в вакууме 500г,1.13865744,500 г,carrot,Pyaterochka,500.0,2.27731488,,,,
29,Бананы Global Village,1.87940944,Цена за 1 кг,banana,Pyaterochka,1000.0,1.87940944,,,,
30,Апельсины,1.6582894400000001,Цена за 1 кг,orange,Pyaterochka,1000.0,1.6582894400000001,,,,
31,Бананы Красная Цена фасованные,1.87940944,Цена за 1 кг,banana,Pyaterochka,1000.0,1.87940944,,,,
32,Апельсины фасованные,1.6582894400000001,Цена за 1 кг,orange,Pyaterochka,1000.0,1.6582894400000001,,,,
33,Апельсины Global Village отборные,2.58699344,Цена за 1 кг,orange,Pyaterochka,1000.0,2.58699344,,,,
34,Манго желтое,5.69372944,Цена за 1 кг,mango,Pyaterochka,1000.0,5.69372944,,,,
35,Молоко Домик в деревне пастеризованное 2.5% БЗМЖ 930мл,0.9949294399999999,930 мл,milk,Pyaterochka,,,,,930.0,1.0698166021505375
36,Молоко Станция Молочная пастеризованное 2.5% БЗМЖ 900мл,0.85120144,900 мл,milk,Pyaterochka,,,,,900.0,0.9457793777777777
37,Молоко Простоквашино отборное пастеризованное 3.4-4.5% БЗМЖ 930мл,1.13865744,930 мл,milk,Pyaterochka,,,,,930.0,1.2243628387096774
38,Молоко Село Зеленое пастеризованное 3.2% БЗМЖ 1.947л,2.21108944,1.947 л,milk,Pyaterochka,,,,,1947.0,1.1356391576784797
39,Молоко Му-у ультрапастеризованное 3.2% БЗМЖ 925мл,1.16076944,925 мл,milk,Pyaterochka,,,,,925.0,1.254885881081081
