country,supermarket,product_category,product_name,normalized_price,is_outlier
Russia,Pyaterochka,yogurt,Йогурт Даниссимо Фантазия с хрустящими шоколадными шариками 6.9% 105г (105 г),7.3696137142857125,False
Russia,Pyaterochka,yogurt,Йогурт Даниссимо с хрустящими ягодными шариками 6.9% 105г (105 г),7.3696137142857125,False
Russia,Pyaterochka,yogurt,Йогурт Epica с манго и семенами чиа 5% 130г (130 г),4.676688,False
Russia,Pyaterochka,yogurt,Йогурт Epica вишня-черешня 4.8% 130г (130 г),4.676688,False
Russia,Pyaterochka,yogurt,"Йогурт Растишка со вкусом пломбира, драже хрустящие шарики с ягодным вкусом 3% 116г (116 г)",6.384839999999999,False
Russia,Pyaterochka,yogurt,Йогурт Фругурт персик-маракуйя 2% 240г (240 г),2.763539333333333,False
Russia,Pyaterochka,yogurt,Йогурт Фругурт вишня 2% 240г (240 г),2.763539333333333,False
Russia,Pyaterochka,yogurt,Йогурт Актибио вишня 2.9% 130г (130 г),4.2514572307692315,False
Russia,Pyaterochka,yogurt,Йогурт Чудо Клубника-земляника 2% 290г (290 г),3.0495497931034476,False
Russia,Pyaterochka,yogurt,Йогурт Даниссимо Фантазия со вкусом клубники-молочного шоколада 6.9% 105г (105 г),7.790794666666666,False
Russia,Pyaterochka,yogurt,Йогурт АктиБио чернослив 2.9% 130г (130 г),4.506595692307693,False
Russia,Pyaterochka,yogurt,Йогурт Простоквашино Греческий 2% 135г (135 г),4.831062518518519,False
Russia,Pyaterochka,yogurt,Йогурт АктиБио отруби и злаки 2.9% 130г (130 г),4.2514572307692315,False
Russia,Pyaterochka,yogurt,Йогурт АктиБио клубника 2.9% 130г (130 г),4.2514572307692315,False
Russia,Pyaterochka,yogurt,Йогурт Фругурт клубника-малина 2% 240г (240 г),2.763539333333333,False
Russia,Pyaterochka,yogurt,Йогурт АктиБио натуральный 3.5% 130г (130 г),4.2514572307692315,False
Russia,Pyaterochka,yogurt,Йогурт Царка земляника 3.5% 400г (400 г),2.3767636,False
Russia,Pyaterochka,yogurt,Йогурт Простоквашино с черникой двухслойный термостатный 3.4% БЗМЖ 160г (160 г),3.4543090000000007,False
Russia,Pyaterochka,yogurt,Йогурт Epica Crispy фисташки 4.8% 140г (140 г),5.922067428571428,False
Russia,Pyaterochka,yogurt,Йогурт Царка манго 3.5% 400г (400 г),2.3767636,False
Russia,Pyaterochka,yogurt,Йогурт Epica Crispy карамель 4.8% 140г (140 г),6.237953142857142,False
Russia,Pyaterochka,yogurt,Йогурт Царка вишня 3.5% 400г (400 г),2.3767636,False
Russia,Pyaterochka,yogurt,Йогурт Коломенский Черника с малиной и манго 5% 170г (170 г),4.7469261176470585,False
Russia,Pyaterochka,yogurt,Йогурт Teos греческий клубника 2% 140г (140 г),5.053381714285714,False
Russia,Pyaterochka,yogurt,Йогурт Lactica греческий натуральный 4% 120г (120 г),5.527078666666667,False
Russia,Pyaterochka,yogurt,Йогурт ЦарКа Киви 3.5% 400г (400 мл),2.3767636,False
Russia,Pyaterochka,yogurt,Йогурт Viola Laplandia Сливочный с малиной и маскарпоне 7.2% 180г (180 г),4.851741333333333,False
