category_code,name,price,uom,supermarket
MENU114,"LIX Nước giặt hương nắng hạ 3,3kg/3,1kg",199000.0,CAN,Winmart
MENU114,GREEN ACE Dầu đậu nành 2L,129000.0,CHA,Winmart
MENU114,Nước uống sữa trái cây bổ dưỡng hương cam Nutri Boost chai 1L,29000.0,CHA,Winmart
MENU114,Nước uống sữa trái cây hương dâu Nutri Boost chai 1L,29000.0,CHA,Winmart
MENU114,Dầu đậu nành Meizan chai 2L,128900.0,CHA,Winmart
MENU114,3 MIỀN Mì gà sợi phở 65g,101000.0,T,Winmart
MENU114,Gạo Ngọc Nương ST 25 đặc sản 3Kg ,123000.0,G1,Winmart
MENU114,Sữa KUN vị cacao lúa mạch hộp 110ml ,20000.0,G4,Winmart
MENU114,Thùng 30 gói mì ăn liền vị tôm chua cay Kokomi 65g,91000.0,T,Winmart
MENU114,Dầu đậu nành Meizan chai 1L,55800.0,CHA,Winmart
MENU114,Nước mắm Nam Ngư Đệ nhị 900ml,26500.0,CHA,Winmart
MENU114,Nước mắm Nam Ngư  chai 1.2L,65000.0,CHA,Winmart
MENU114,Thùng 24 chai nước tăng lực nhân sâm Sting 330ml,236000.0,T,Winmart
MENU114,Thùng 24 lon nước giải khát Zero Coca Cola không đường 330ml,236000.0,T,Winmart
MENU114,Khăn giấy lụa 2 lớp Teddy Bear Mollis gói 300 tờ,29400.0,G1,Winmart
MENU114,"MEIZAN Hạt nêm Thịt, XO,T,CR Heo 400gr",38000.0,G1,Winmart
MENU114,NEPTUNE Hạt nêm 4 trong 1 - heo 380g,36100.0,G1,Winmart
MENU114,Nước giặt xả cao cấp Chante chai 3.4kg,225000.0,CHA,Winmart
MENU114,Giấy vệ sinh Elene  xanh ngọc 10c 3 lớp lõi,146300.0,LOC,Winmart
MENU114,CUSTAS Bánh kem trứng Orion hộp 188g,36000.0,HOP,Winmart
MENU114,CHOCOPIE Bánh Orion hộp 264g/290.4g,36000.0,HOP,Winmart
MENU114,Táo Gala Ba Lan,59900.0,KG,Winmart
MENU114,JINJU Bánh gạo muối hồng 134.4g,26000.0,G1,Winmart
MENU114,LIX NRC Siêu sạch trà xanh 3.5kg/3.6kg,112000.0,CAN,Winmart
MENU51,MEATDELI [PRE] Thịt heo xay đặc biệt,190900.0,KG,Winmart
MENU51,MEATDELI [PRE] Thịt Sườn thăn (sườn non) (S),336900.0,KG,Winmart
MENU51,MEATDELI Chân giò heo rút xương (S),161900.0,KG,Winmart
MENU51,Rau mầm cải ngọt WinEco 100g,16800.0,HOP,Winmart
MENU51,Rau muống WinEco gói  500g,16500.0,G1,Winmart
MENU51,MEATDELI [PRE] Sườn St. Louis (S),371900.0,KG,Winmart
MENU51,MEATDELI [PRE] Sụn heo (S),300900.0,KG,Winmart
MENU51,Ớt ngọt xanh  WinEco,64900.0,KG,Winmart
MENU51,MEATDELI [PRE] Thịt Nạc nọng (S),478900.0,KG,Winmart
MENU51,MEATDELI [PRE] Thịt Nạc dăm đầu giòn (S),295900.0,KG,Winmart
MENU51,Mướp đắng  WinEco,32900.0,KG,Winmart
MENU51,MEATDELI [PRE] Đuôi heo (S),230900.0,KG,Winmart
MENU51,MEATDELI [PRE] Bắp giò cuộn (S),225900.0,KG,Winmart
MENU51,Giá đỗ WinEco 300g,10900.0,G1,Winmart
MENU51,MEATDELI [PRE] Thịt Ba Rọi đặc biệt (S),305900.0,KG,Winmart
MENU51,MEATDELI Xương heo chuẩn ngon WCM (S),99900.0,KG,Winmart
MENU51,MEATDELI Thịt xay tươi ướp sẵn,196900.0,KG,Winmart
MENU51,Cà chua đỏ  WinEco,32900.0,KG,Winmart
MENU51,MEATDELI Thịt vai heo (S),145900.0,KG,Winmart
MENU51,MEATDELI Thịt heo xay chuẩn ngon (S),149900.0,KG,Winmart
MENU51,MEATDELI Thịt đùi heo (S),144900.0,KG,Winmart
MENU51,MEATDELI Thịt Sườn vai heo (S),177900.0,KG,Winmart
MENU51,MEATDELI Thịt Nạc vai heo (S),157900.0,KG,Winmart
MENU51,MEATDELI Thịt Nạc thăn heo (S),144900.0,KG,Winmart
MENU51,MEATDELI Thịt Nạc đùi heo (S),151900.0,KG,Winmart
MENU51,MEATDELI Thịt Nạc dăm heo (Thịt Nạc vai) (S),189900.0,KG,Winmart
MENU51,MEATDELI Giò heo cắt khoanh (S),150900.0,KG,Winmart
MENU51,MEATDELI Thịt Cốt lết heo (S),150900.0,KG,Winmart
MENU51,MEATDELI Thịt Ba Rọi heo (S),210900.0,KG,Winmart
MENU51,Mùi tàu (Ngò gai) WinEco gói 50g,6900.0,G1,Winmart
MENU51,Mồng tơi WinEco gói 500g,20900.0,G1,Winmart
MENU51,Hành lá WinEco gói 100g,11500.0,G1,Winmart
MENU51,Dưa chuột baby WinEco gói 500g,16900.0,KH,Winmart
MENU51,Cần tây nhỏ  WinEco 100g,11900.0,G1,Winmart
MENU51,Cải xanh WinEco gói 300g,14500.0,G1,Winmart
MENU51,Cải ngọt WinEco gói   500g,18900.0,G1,Winmart
MENU51,Cải chíp WinEco gói 500g,19900.0,G1,Winmart
MENU51,Cải bó xôi WinEco gói 300g,22900.0,G1,Winmart
MENU51,Bầu sao WinEco,25500.0,KG,Winmart
MENU51,Cần tây lớn WinEco,44000.0,KG,Winmart
MENU51,Lá Kim  Miwon tẩm dầu Ô Liu 15g,35700.0,LOC,Winmart
MENU51,Gạo ST25 Giống Cây Trồng TW túi 3kg,107000.0,G1,Winmart
MENU51,Dầu gội Head&Shoulders bạc hà 600ml,171000.0,CHA,Winmart
MENU51,Ba chỉ bò Úc Kiaora cắt lát 375g,134900.0,KH,Winmart
MENU51, Cam Ai Cập,79900.0,KG,Winmart
MENU51,Gạo Ngọc Nương ST 25 đặc sản 3Kg ,123000.0,G1,Winmart
MENU51,Thùng 24 lon bia Red Ruby lon 330ml,235000.0,T,Winmart
MENU51,Rau ngót  WinEco gói 300g,15900.0,G1,Winmart
MENU0133,Sữa tươi tiệt trùng Meiji không Lactose 946ml,77000.0,G1,Winmart
MENU0133,Lốc 4 hộp sữa tiệt trùng ít đường Nutimilk  100% Newzealand 180ml,31800.0,G4,Winmart
MENU0133,Lốc 4 hộp sữa Nutimilk có đường 100% sữa Newzealand 180ml,31800.0,G4,Winmart
MENU0133,Sữa tiệt trùng Cô gái Hà Lan có đường lốc 4 hộp x 180ml,33900.0,G4,Winmart
MENU0133,Thùng 48 hộp sữa tươi tiệt trùng TH True Milk có đường 180ml,462000.0,T,Winmart
MENU0133,Thùng 48 hộp sữa tươi tiệt trùng Vinamilk không đường 180ml,396000.0,T,Winmart
MENU0133,Sữa tiệt trùng Cô gái Hà Lan không đường hộp 1lít,35900.0,HOP,Winmart
MENU0133,Sữa tươi tiệt trùng nguyên kem Meadow Fresh hộp 1L,53500.0,HOP,Winmart
MENU0133,Sữa tươi tiệt trùng Vinamilk không đường hộp 1 lít,37900.0,HOP,Winmart
MENU0133,Sữa tươi tiệt trùng nguyên chất TH True Milk hộp 1 lít,40200.0,HOP,Winmart
MENU0133,Sữa thanh trùng Dalat Milk không đường hộp 180ml,12500.0,HOP,Winmart
MENU0133,Sữa thanh trùng Dalat Milk không đường 950ml,47600.0,HOP,Winmart
MENU0133,Sữa tươi thanh trùng Dalat Milk có đường hộp 450ml,26700.0,HOP,Winmart
MENU0133,Sữa tươi thanh trùng sô cô la Dalat Milk có đường hộp 180ml,12500.0,HOP,Winmart
MENU0133,Sữa tươi tiệt trùng TH True Milk có đường hộp 1L,40200.0,HOP,Winmart
MENU0133,Sữa tươi tiệt trùng TH True Milk ít đường hộp 1 lít,40200.0,HOP,Winmart
MENU0133,Thùng 48 hộp sữa tuoi tiệt trùng ít đường Vinamilk 180ml,395900.0,T,Winmart
MENU0133,Sữa tiệt trùng Vinamilk có đường túi 220ml,7400.0,G1,Winmart
MENU0133,Sữa thanh trùng nguyên chất TH Milk 950ml,45700.0,HOP,Winmart
MENU0133,Sữa tiệt trùng Vinamilk không đường túi 220ml,7400.0,G1,Winmart
MENU0133,Sữa tiệt trùng Vinamilk hương dâu gói 220ml,7400.0,G1,Winmart
MENU0133,Thùng 48 hộp sữa tươi tiệt trùng vị dâu Cô gái Hà Lan 180ml,405600.0,T,Winmart
